YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1934,,,,,,,,0.25733333333333697,-0.9520000000000017,-1.3356666666666666,0.028333333333332433,0.29300000000000104
1935,-0.7699999999999996,-0.4980000000000002,-1.237,-1.0389999999999997,-1.2336666666666627,-0.4150000000000027,-0.3573333333333313,-1.192666666666664,-0.522000000000002,-0.5256666666666661,-1.9316666666666666,-0.2969999999999988
1936,-0.08000000000000007,-1.4880000000000004,-1.0370000000000008,-1.3389999999999986,-0.7336666666666627,1.6849999999999987,1.1926666666666677,0.837333333333337,-0.3620000000000019,-0.02566666666666606,-0.9816666666666674,-0.26699999999999946
1937,-1.1899999999999995,-1.7679999999999998,-0.6070000000000011,-0.7489999999999988,-0.8936666666666628,-0.3150000000000013,-0.9473333333333311,-0.8026666666666635,-1.5620000000000012,-0.7656666666666663,0.33833333333333293,0.36299999999999955
1938,0.16999999999999993,-1.3180000000000005,-0.6870000000000003,-0.6589999999999989,-1.1636666666666624,-1.1250000000000018,-1.7673333333333314,-1.6726666666666627,-1.1220000000000017,-0.1856666666666662,-0.36166666666666636,-0.4870000000000001
1939,-0.15999999999999925,-1.428,,,,,-0.5973333333333315,0.047333333333336114,-0.9220000000000024,-0.8456666666666663,0.45833333333333215,1.4030000000000005
1940,0.6500000000000004,0.5419999999999998,0.6029999999999998,1.141,0.5563333333333382,-0.08500000000000263,-0.6173333333333311,-0.3926666666666634,-0.272000000000002,0.6943333333333346,0.8583333333333325,0.5129999999999999
1941,0.34999999999999964,0.911999999999999,1.3129999999999988,1.2510000000000012,1.2663333333333373,1.0249999999999986,1.0226666666666677,-0.612666666666664,0.18799999999999883,0.3743333333333343,0.8683333333333323,0.9830000000000005
1942,-0.4499999999999993,-0.038000000000000256,-0.6070000000000011,-0.32899999999999885,-0.06366666666666276,0.0849999999999973,1.5626666666666686,0.5173333333333368,0.05799999999999805,-0.29566666666666563,-0.8516666666666666,-0.6969999999999992
1943,-1.3099999999999996,-1.088,-1.1770000000000005,-0.33899999999999864,-1.2036666666666616,-0.6450000000000014,-0.7273333333333323,-0.7226666666666635,-0.19200000000000195,-0.16566666666666663,0.14833333333333343,0.48300000000000054
