Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1934,,,,,,,,0.2573333333333352,-0.9486666666666714,-1.3373908045977014,0.03166666666666451,0.29719354838709755
1935,-0.7733333333333325,-0.5030000000000001,-1.2336666666666662,-1.0356666666666658,-1.238505376344083,-0.4116666666666706,-0.361849462365587,-1.193634408602147,-0.5253333333333323,-0.5211505376344068,-1.9350000000000005,-0.2995806451612921
1936,-0.08387096774193559,-1.4900689655172403,-1.0370000000000008,-1.3356666666666666,-0.7385053763440812,1.684999999999997,1.1960000000000033,0.838623655913981,-0.3619999999999983,-0.02437634408601852,-0.9783333333333335,-0.2705483870967704
1937,-1.1935483870967731,-1.765037037037037,-0.6103333333333332,-0.7472758620689657,-0.89656989247311,-0.31833333333333336,-0.9489462365591379,-0.8033118279569855,-1.5620000000000047,-0.7656666666666645,0.3349999999999973,0.3584838709677438
1938,0.16774193548387117,-1.3208571428571414,-0.6853870967741962,-0.6623333333333328,-1.1675376344085961,-1.1250000000000018,-1.7650752688172044,-1.671053763440856,-1.1220000000000052,-0.18889247311827795,-0.3573809523809537,-0.4899032258064526
1939,-0.163333333333334,-1.4329999999999998,,,,,-0.5973333333333297,0.05152688172043263,-0.9220000000000024,-0.8469569892473121,0.45833333333333215,1.398862068965519
1940,0.6516129032258053,0.5434285714285707,0.6049354838709657,1.1410000000000018,0.558268817204306,-0.08833333333333648,-0.6166881720430091,-0.39040860215053463,-0.272000000000002,0.6917526881720466,0.8583333333333325,0.5163333333333338
1941,0.3516129032258064,0.9112857142857145,1.3081612903225786,1.2543333333333333,1.2679462365591476,1.021666666666663,1.0260000000000016,-0.6129892473118232,0.18799999999999883,0.37562365591398006,0.8683333333333341,0.987516129032258
1942,-0.4499999999999993,-0.04228571428571293,-0.6079677419354841,-0.33003448275861835,-0.0675376344085965,0.08833333333333293,1.5607311827957009,0.5160430107526945,0.06133333333333013,-0.2953440860215064,-0.8516666666666666,-0.6963548387096772
1943,-1.3096774193548386,-1.0872592592592598,-1.172483870967742,-0.3382857142857123,-1.2030215053763378,-0.6450000000000031,-0.7263655913978493,-0.7258924731182752,-0.19200000000000017,-0.16953763440860037,0.14833333333333343,0.48751612903225805
1944,0.293333333333333,-0.39351724137930866,-0.520870967741935,-0.5256666666666661,-0.5288279569892431,-1.3116666666666692,-1.0812043010752639,-0.23556989247311577,-0.5086666666666666,0.2810000000000006,1.3683333333333323,0.8294516129032257
1945,0.8999999999999986,0.5862857142857134,0.08235483870967819,-0.7923333333333318,0.24536559139785474,-1.115000000000002,-1.1553978494623642,-1.1613763440860172,-1.375333333333339,-1.1792150537634374,-1.668333333333333,-1.038290322580644
1946,-0.1899999999999995,-0.7351428571428587,-0.6079677419354841,-1.057620689655172,-0.9675376344085933,0.6050000000000004,-0.4295913978494603,-0.8581505376344065,-1.135333333333337,-1.3823333333333334,-1.8416666666666686,-1.4253870967741946
1947,-1.6258064516129034,-1.3280000000000012,-0.4821612903225798,-0.6265862068965511,-0.92237634408602,0.3816666666666624,0.24137634408602437,0.5450752688172056,-0.7419999999999991,-0.4792150537634381,0.19166666666666643,-0.22538709677419355
1948,-0.5161290322580632,-1.1521379310344821,-1.4176451612903227,-1.7823333333333338,-1.0578602150537577,-0.41166666666666885,-0.2424946236559098,-0.3742795698924688,-0.24533333333333118,-0.8023333333333333,-1.5350000000000001,-1.938290322580646
1949,-2.9064516129032247,-2.6687407407407404,-1.5337741935483873,-1.2789999999999981,-0.2804408602150499,-1.4350000000000023,-1.2839999999999971,-0.5690952380952368,-1.1720000000000024,-1.7276021505376349,-0.3316666666666688,-0.2060322580645142
1950,-2.8838709677419345,-2.2351428571428587,-1.5503333333333353,-1.738999999999999,-2.4288279569892435,-0.6950000000000003,-1.7199139784946187,-1.6502528735632183,-1.3186666666666707,-0.7759892473118235,-0.331666666666667,0.33590322580645093
1951,0.054838709677420994,-0.8458571428571444,-1.5757096774193542,-1.1127931034482739,-1.2610860215053723,-0.9450000000000021,-0.19733333333333292,-0.3226666666666649,-1.0953333333333344,-0.2856666666666623,-0.22722222222222221,-0.2912857142857135
1952,-1.1851851851851851,-0.8029999999999999,-0.788724137931033,-1.2382857142857144,-0.703021505376336,-0.7083333333333357,-0.9424946236559144,-0.5936344086021474,-0.7320000000000029,-0.2928095238095185,-0.86425925925926,-0.5308461538461522
1953,0.045161290322582204,0.2612857142857141,-0.08872413793103284,-0.7156666666666656,0.07762365591398179,-0.6350000000000016,-1.2070107526881717,-0.5936344086021474,-0.062000000000001165,0.1336881720430103,0.7323333333333331,0.9359032258064506
1954,0.7920000000000016,-0.3168888888888892,-0.6236666666666686,-1.4556666666666676,-1.5901182795698894,-0.7916666666666714,-0.7005591397849429,-0.8420215053763389,-0.6553333333333367,-0.42359770114942386,1.0783333333333314,1.2056086956521757
1955,0.2666666666666675,-0.5453913043478273,-1.2636666666666674,-1.9204285714285714,-2.3804408602150495,-1.6039655172413827,-1.5521720430107493,-1.8807311827956976,-1.5057931034482746,-0.9925632183908011,-1.443666666666667,-1.273296296296297
