YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1961,,,,-0.7768965517241373,-1.372413793103446,-0.2067857142857168,-0.4379310344827587,-0.14137931034482776,-0.5744827586206913,-1.1675862068965497,-1.055333333333337,-0.9730000000000008
1962,,,,-1.2168965517241368,-1.532413793103446,-1.0467857142857167,-0.4879310344827559,-2.961379310344828,-0.07448275862069131,-1.117586206896549,-0.19533333333333758,-0.48300000000000054
1963,-0.8453333333333326,-0.04100000000000126,-0.3650000000000002,-0.6568965517241363,-0.5624137931034454,-0.7567857142857175,-2.2479310344827574,-0.26137931034482875,-0.3944827586206916,-0.3475862068965494,-1.3153333333333368,-0.7330000000000005
1964,-0.5553333333333326,-0.761000000000001,-0.8949999999999996,-1.2168965517241368,-1.9824137931034453,-1.2267857142857164,-2.557931034482758,-3.2013793103448283,-1.3944827586206916,-0.697586206896549,-1.105333333333336,-1.4330000000000007
1965,-1.7253333333333325,-1.721000000000001,-1.505,-1.536896551724137,-1.7624137931034465,-0.8667857142857169,-0.12793103448275644,-0.5113793103448288,-0.6844827586206925,-1.56758620689655,-0.5853333333333364,-0.6630000000000003
1966,-1.3053333333333326,-1.1110000000000015,-1.0149999999999997,-0.706896551724137,-1.6724137931034466,-2.526785714285717,-1.8079310344827562,-1.2313793103448276,-1.8144827586206915,-0.947586206896549,-0.8753333333333373,-0.5530000000000008
1967,-0.8953333333333324,-0.9410000000000016,-1.2349999999999994,-1.3468965517241358,-1.3924137931034455,1.4432142857142836,-0.6779310344827572,1.4786206896551697,-1.2844827586206922,-1.2575862068965495,-0.47533333333333694,-0.9030000000000005
1968,-0.7753333333333323,-1.0310000000000015,-0.7649999999999997,-1.2668965517241375,-1.122413793103446,-1.2267857142857164,-0.6279310344827564,-1.8813793103448297,-1.5844827586206929,-1.367586206896549,-0.8453333333333362,-1.383000000000001
1969,-2.575333333333332,-1.971000000000001,-1.6150000000000002,-1.9468965517241363,-0.702413793103446,1.423214285714284,-0.267931034482757,-3.2813793103448283,-2.2744827586206924,-1.0175862068965493,-0.7853333333333374,-0.41300000000000026
1970,-0.9953333333333321,-0.5210000000000017,-0.5149999999999997,-1.1068965517241374,-1.872413793103446,-0.24678571428571594,-1.8479310344827589,-1.5613793103448295,-1.9844827586206915,-1.0875862068965496,-1.1753333333333362,-1.0130000000000008
1971,-1.6853333333333325,-1.5810000000000013,-2.0949999999999998,-1.786896551724137,-1.6024137931034463,-2.8367857142857176,-1.0979310344827589,-1.6013793103448286,-1.954482758620692,-1.2275862068965502,-1.265333333333336,-1.5730000000000004
1972,-1.8253333333333321,-1.511000000000001,-1.3849999999999998,-2.1468965517241365,-1.7324137931034453,-1.2267857142857164,-2.3779310344827564,0.4586206896551701,-1.7144827586206919,-1.5875862068965496,-1.4153333333333364,-1.3030000000000008
1973,-1.5953333333333326,-1.5210000000000017,-1.0649999999999995,-1.0768965517241362,-1.702413793103446,-2.606785714285717,-1.8579310344827569,-0.9813793103448276,-1.5344827586206922,-1.287586206896549,-1.5453333333333372,-1.0930000000000009
1974,-1.4753333333333325,-1.181000000000001,-1.3949999999999996,-1.4768965517241366,-2.782413793103446,-2.326785714285716,-2.4679310344827563,-1.331379310344829,0.045517241379307904,-0.73758620689655,-1.0453333333333372,-0.4430000000000014
1975,-1.165333333333332,-1.5010000000000012,-1.245,-1.3868965517241367,-2.3424137931034466,-1.2267857142857164,0.13206896551724157,-2.921379310344829,-0.2044827586206921,-1.287586206896549,-1.0453333333333372,-1.3930000000000007
1976,-0.7553333333333327,-0.8210000000000015,-1.4649999999999999,-1.206896551724137,-2.3524137931034463,-2.746785714285716,-2.7379310344827577,-2.6013793103448286,-0.9644827586206919,-0.367586206896549,-0.45533333333333736,-0.28300000000000125
1977,-0.7453333333333321,0.14899999999999913,-0.6549999999999994,-0.706896551724137,-1.7224137931034456,-1.0967857142857174,-1.8079310344827562,0.09862068965517068,-1.0844827586206929,-0.7175862068965504,-1.3453333333333362,-1.1130000000000004
1978,-1.495333333333332,-0.8410000000000011,-0.45500000000000007,-0.5168965517241375,-1.0224137931034463,0.13321428571428306,1.2120689655172434,-0.8213793103448275,-1.9944827586206912,-0.10758620689654919,-0.805333333333337,-0.3330000000000002
1979,-0.9653333333333327,-0.6610000000000014,-0.3949999999999996,-0.2168965517241368,-0.8524137931034463,-0.34678571428571736,-1.6179310344827584,-1.0113793103448288,-1.2744827586206924,-0.3275862068965498,-0.47533333333333694,-0.12300000000000111
1980,-1.1753333333333327,-1.0310000000000015,-0.9249999999999998,-1.1368965517241367,-1.5824137931034468,-1.6267857142857167,-1.5079310344827555,-1.6213793103448282,-2.1844827586206925,-0.7775862068965491,-0.6553333333333367,-0.8830000000000009
1981,-0.4853333333333323,-0.4510000000000014,-0.26500000000000057,-0.8268965517241362,-1.8424137931034466,-2.8467857142857174,-0.9779310344827579,-0.841379310344827,-1.0244827586206924,0.08241379310345032,0.7046666666666628,0.34699999999999953
1982,-0.18533333333333246,0.21899999999999942,0.005000000000000782,-0.19689655172413723,-0.11241379310344612,2.143214285714283,-0.17793103448275716,-0.5613793103448295,0.40551724137930734,0.30241379310345096,-0.21533333333333715,0.2469999999999999
1983,0.7546666666666679,0.8989999999999991,0.6850000000000005,1.0231034482758634,0.6175862068965543,-0.29678571428571665,-2.027931034482757,-0.44137931034482847,-0.6544827586206914,-0.22758620689655018,0.004666666666663488,-0.7730000000000006
1984,0.084666666666668,0.37899999999999956,0.47499999999999964,-0.13689655172413673,-1.6824137931034464,-0.36678571428571694,-0.637931034482758,-0.8213793103448275,-1.3344827586206929,-0.7875862068965489,-0.8253333333333366,-1.0030000000000001
1985,-0.7153333333333327,-0.06100000000000172,-0.1850000000000005,-0.43689655172413744,-0.8824137931034457,-0.5267857142857171,0.6820689655172423,-0.8813793103448297,-0.5844827586206929,-0.5175862068965493,-1.7353333333333367,-1.1530000000000005
1986,0.10466666666666757,-0.5010000000000012,-0.34500000000000064,-0.586896551724136,-1.952413793103446,-1.1867857142857172,-1.8179310344827577,0.22862068965516968,-0.16448275862069295,0.012413793103450033,-0.3753333333333373,-0.2729999999999997
1987,-0.12533333333333285,-0.10100000000000087,-0.1349999999999998,-0.36689655172413715,-1.032413793103446,-1.366785714285717,-1.8279310344827557,-0.20137931034483003,-0.2544827586206928,0.4724137931034509,0.1246666666666627,0.01699999999999946
1988,-0.05533333333333257,-0.06100000000000172,-0.22499999999999964,0.013103448275863627,-1.4124137931034468,-0.9067857142857161,-1.0079310344827555,-1.2613793103448288,-0.3244827586206913,-0.1475862068965501,-0.22533333333333694,-0.08300000000000018
1989,-0.3953333333333324,-1.4110000000000014,-0.6449999999999996,-0.006896551724135946,0.5775862068965534,0.023214285714283633,-2.2079310344827565,-1.171379310344829,0.9855172413793092,-0.4775862068965502,-0.35533333333333594,-0.06300000000000061
1990,-0.015333333333332533,-0.7910000000000013,-0.34500000000000064,0.37310344827586306,-0.3924137931034455,-0.7967857142857167,0.37206896551724356,0.33862068965517267,0.7455172413793072,-0.8475862068965494,-0.555333333333337,-1.0230000000000006
1991,-1.0253333333333323,-0.03100000000000147,-0.7249999999999996,-0.206896551724137,-0.5824137931034468,-1.2667857142857173,-1.1979310344827567,-0.4913793103448292,0.20551724137930805,0.5324137931034496,-0.4453333333333376,-0.06300000000000061
1992,-0.02533333333333232,0.1089999999999991,0.9849999999999994,0.5831034482758639,1.2875862068965542,1.3932142857142829,0.5420689655172417,-0.2213793103448296,-0.7444827586206912,0.10241379310344989,0.2546666666666635,-0.14300000000000068
1993,-0.705333333333332,-0.2010000000000014,0.28500000000000014,-0.10689655172413737,-0.3924137931034455,0.7132142857142831,-0.767931034482757,0.17862068965517253,1.665517241379309,1.0824137931034503,0.014666666666663275,-0.06300000000000061
1994,0.5046666666666679,-0.2510000000000012,0.11500000000000021,0.6031034482758635,0.967586206896554,-0.5867857142857176,0.5720689655172428,0.09862068965517068,0.4955172413793072,0.49241379310345046,-0.5053333333333363,-0.5330000000000004
1995,-0.7553333333333327,-0.1910000000000016,-0.21499999999999986,0.13310344827586285,1.1975862068965544,0.543214285714285,-0.2879310344827566,-1.3513793103448286,0.5755172413793073,-0.7275862068965502,-0.22533333333333694,-0.1930000000000014
1996,-0.43533333333333246,-0.8710000000000013,-0.46499999999999986,-0.31689655172413644,-1.2124137931034458,-1.076785714285716,-0.12793103448275644,-0.4013793103448293,-0.5844827586206929,-0.2875862068965489,-0.7053333333333374,-0.9930000000000003
1997,-1.0853333333333328,-0.9310000000000009,-0.8449999999999998,-0.4468965517241372,0.4875862068965535,-1.1767857142857174,-0.12793103448275644,0.03862068965517196,-0.004482758620692806,-0.3575862068965492,0.22466666666666235,0.3069999999999986
1998,-0.13533333333333264,0.01899999999999835,-0.11500000000000021,-0.19689655172413723,0.8875862068965539,0.8832142857142848,0.25206896551724256,1.3986206896551714,1.4955172413793072,-0.25758620689654954,0.3646666666666629,0.04699999999999882
1999,0.07466666666666733,-0.17100000000000115,-0.5949999999999998,-0.4168965517241361,-0.9824137931034453,-0.8867857142857165,-1.0479310344827582,-0.021379310344830316,0.3555172413793084,-0.6075862068965492,-0.2953333333333372,-0.3330000000000002
2000,-0.5153333333333325,-0.23100000000000165,-0.015000000000000568,0.20310344827586313,-1.322413793103447,-0.5467857142857167,-0.027931034482758577,-0.5413793103448299,-0.22448275862069167,-0.10758620689654919,-0.17533333333333623,-0.1930000000000014
2001,0.14466666666666672,-0.12100000000000133,0.025000000000000355,-0.3968965517241365,-1.152413793103447,-0.9667857142857166,0.32206896551724284,-1.961379310344828,-0.5844827586206929,-0.49758620689654975,-0.07533333333333658,-0.3630000000000013
2002,-0.14533333333333243,-0.42100000000000115,-0.9349999999999996,-0.49689655172413616,-1.122413793103446,-0.05678571428571644,0.612068965517242,0.05862068965517153,0.015517241379308544,0.23241379310345067,-0.0653333333333368,0.4169999999999998
2003,0.2246666666666668,0.21899999999999942,0.08500000000000085,-0.17689655172413588,-0.4424137931034462,0.5632142857142846,0.25206896551724256,0.28862068965517196,-0.2044827586206921,-0.0975862068965494,-0.5353333333333374,-0.21300000000000097
2004,-0.3953333333333324,-0.3210000000000015,0.32500000000000107,0.9731034482758627,1.4375862068965546,1.053214285714283,0.482068965517243,0.9986206896551728,-0.08448275862069288,0.632413793103451,0.41466666666666363,0.7569999999999997
2005,0.584666666666668,-0.03100000000000147,0.8350000000000009,0.543103448275863,0.33758620689655316,0.16321428571428243,-0.5379310344827566,0.8386206896551727,0.5255172413793083,-0.05758620689655025,0.08466666666666356,0.06700000000000017
2006,0.834666666666668,-0.3310000000000013,-0.03500000000000014,-0.10689655172413737,-0.702413793103446,0.8232142857142826,0.11206896551724199,0.028620689655170395,0.40551724137930734,0.43241379310344996,-0.3753333333333373,-0.23300000000000054
2007,-0.6253333333333329,-0.04100000000000126,-0.15499999999999936,-0.37689655172413694,-0.322413793103447,-0.9067857142857161,-0.7379310344827559,-0.1713793103448289,0.5955172413793086,-0.8975862068965501,-0.15533333333333665,-0.10299999999999976
2008,0.17466666666666786,0.6989999999999981,0.6150000000000002,0.023103448275863414,-0.28241379310344605,-0.42678571428571743,0.8020689655172433,-1.3813793103448297,0.44551724137930826,-0.30758620689655025,0.314666666666664,0.2370000000000001
2009,0.14466666666666672,0.1789999999999985,-0.11500000000000021,0.023103448275863414,-0.15241379310344705,2.293214285714285,1.362068965517242,0.4686206896551717,0.4255172413793087,0.4224137931034502,0.23466666666666391,-0.09299999999999997
2010,1.1146666666666674,1.1889999999999983,0.9849999999999994,0.49310344827586405,-0.2424137931034469,-0.23678571428571615,1.4920689655172445,1.6486206896551714,-0.21448275862069188,0.76241379310345,0.4546666666666628,0.7469999999999999
2011,0.36466666666666736,1.1889999999999983,0.5649999999999995,-0.03689655172413708,-0.9624137931034458,-0.34678571428571736,-0.5079310344827555,0.7586206896551708,1.0655172413793075,0.31241379310345074,0.3746666666666627,0.7969999999999988
2012,0.8546666666666676,0.6889999999999983,-0.5949999999999998,-0.7868965517241371,-1.2124137931034458,-1.9167857142857159,-0.2879310344827566,-0.2513793103448272,-0.02448275862069238,-0.9275862068965495,-1.0353333333333374,-0.3930000000000007
2013,-0.7353333333333323,0.05899999999999839,-0.21499999999999986,-0.1568965517241363,-0.322413793103447,0.19321428571428356,1.7220689655172414,-0.5713793103448275,-0.22448275862069167,-0.23758620689654997,-0.035333333333337436,-1.1530000000000005
2014,0.13466666666666693,-0.24100000000000144,-0.5350000000000001,-0.5168965517241375,0.22758620689655373,0.46321428571428314,-0.37793103448275644,1.538620689655172,-0.17448275862069274,0.3324137931034503,0.2546666666666635,0.28699999999999903
2015,0.4546666666666672,0.9989999999999988,0.9550000000000001,0.7631034482758636,1.8875862068965539,2.0032142857142823,-0.42793103448275716,-0.08137931034482904,-1.414482758620693,0.632413793103451,0.34466666666666335,0.8869999999999987
2016,0.3446666666666678,0.6689999999999987,0.7249999999999996,0.9431034482758633,1.0575862068965538,0.11321428571428349,-0.9479310344827567,-0.2713793103448303,-1.2644827586206926,-0.22758620689655018,0.5946666666666633,-0.08300000000000018
2017,-0.14533333333333243,-0.3210000000000015,-0.125,-0.4268965517241359,-0.4324137931034464,-0.35678571428571715,-0.4579310344827583,0.018620689655172384,-0.03448275862069217,-0.3275862068965498,-0.3653333333333375,-0.5830000000000002
2018,0.214666666666667,-0.17100000000000115,-0.23499999999999943,-0.25689655172413595,1.4475862068965544,-0.446785714285717,-0.14793103448275602,0.13862068965516983,-1.414482758620693,-0.027586206896549115,0.41466666666666363,0.3869999999999987
