Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1961,,,,-0.7777298850574716,-1.3682202447163494,-0.20345238095238294,-0.4408342602892077,-0.13804597701149746,-0.5711494252873592,-1.17242491657397,-1.052000000000005,-0.9765483870967744
1962,,,,-1.2206896551724125,-1.5327363737486053,-1.0434523809523828,-0.4924471635150205,-2.963103448275863,-0.07448275862069131,-1.1142528735632133,-0.19464367816092043,-0.4864482758620703
1963,-0.8437204301075258,-0.03814285714285859,-0.36887096774193573,-0.6568965517241381,-0.5585428253615099,-0.7567857142857175,-2.247285873192432,-0.25976640711902377,-0.39114942528735774,-0.3433926585094511,-1.315333333333335,-0.7313870967741947
1964,-0.5598494623655919,-0.7585862068965543,-0.8946774193548377,-1.2202298850574707,-1.9811234705228031,-1.2267857142857146,-2.5612643678160936,-3.2049276974416028,-1.3978160919540255,-0.698231368186871,-1.1086666666666698,-1.4346129032258066
1965,-1.721139784946235,-1.7202857142857164,-1.5043548387096761,-1.533563218390805,-1.7617686318131263,-0.8634523809523831,-0.12470522803114648,-0.5113793103448323,-0.687816091954021,-1.5724249165739668,-0.5886666666666702,-0.663645161290324
1966,-1.3050107526881725,-1.1131428571428597,-1.0140322580645167,-0.706896551724137,-1.6746718576195772,-2.530119047619051,-1.8118020022246952,-1.2275083426028957,-1.8111494252873577,-0.9433926585094543,-0.8753333333333373,-0.5539677419354838
1967,-0.8921075268817189,-0.9452857142857161,-1.2366129032258053,-1.3435632183908037,-1.390800889877637,1.4432142857142836,-0.6827697441601792,1.4789432703003378,-1.2878160919540225,-1.2562958843159056,-0.47533333333333694,-0.899129032258065
1968,-0.7759784946236552,-1.0344482758620703,-0.7656451612903208,-1.2668965517241375,-1.1230589543937697,-1.2301190476190484,-0.6311568409343735,-1.8791212458286992,-1.5811494252873572,-1.3627474972191322,-0.8420000000000041,-1.383000000000001
1969,-2.575978494623654,-1.9738571428571445,-1.617258064516129,-1.9502298850574693,-0.70370411568409,1.4198809523809537,-0.266640711902113,-3.282347052280313,-2.2711494252873567,-1.0175862068965476,-0.7853333333333374,-0.4150000000000009
1970,-0.9921075268817203,-0.5238571428571444,-0.5108064516129032,-1.1035632183908017,-1.8682202447163476,-0.250119047619048,-1.8505116796440468,-1.559766407119021,-1.9878160919540253,-1.0917797552836497,-1.1720000000000041,-1.012032258064517
1971,-1.6856559139784952,-1.5810000000000022,-2.0979032258064505,-1.7902298850574692,-1.6004783092324821,-2.8367857142857194,-1.0988987764182383,-1.6049276974416031,-1.9511494252873582,-1.2240378197997757,-1.2620000000000005,-1.5700967741935488
1972,-1.8211397849462356,-1.5068620689655194,-1.384999999999998,-2.1435632183908035,-1.7359621802002216,-1.2301190476190484,-2.3730923248053344,0.4628142380422702,-1.7111494252873563,-1.5853281423804226,-1.4186666666666685,-1.302354838709678
1973,-1.5985591397849461,-1.5238571428571444,-1.068870967741935,-1.08022988505747,-1.7069299221357035,-2.6101190476190474,-1.8537374860956604,-0.9823470522803142,-1.537816091954026,-1.2853281423804237,-1.5486666666666675,-1.0959032258064507
