YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1914,0.2919999999999998,,,,,,,,-2.4540000000000024,-0.4316666666666684,-0.0033333333333356308,-0.29433333333333334
1915,0.13199999999999967,0.4733333333333354,0.8306666666666684,0.9816666666666656,-0.2469999999999999,-0.461034482758615,-0.3299999999999983,0.38333333333333286,0.37599999999999767,-0.5816666666666688,-1.4133333333333367,-1.3443333333333332
1916,-2.5380000000000003,-2.136666666666665,-2.2593333333333323,-1.9883333333333342,-1.657,-1.7010344827586152,-2.339999999999998,-0.21666666666666856,-0.6240000000000023,-1.5516666666666694,-2.073333333333336,-1.9943333333333335
1917,-1.6380000000000008,-2.056666666666665,-2.349333333333332,-2.548333333333334,-2.027000000000001,-1.831034482758616,-1.1799999999999962,-0.7766666666666673,-1.9640000000000022,-0.7216666666666693,-0.6133333333333368,-0.9943333333333335
1918,-1.2080000000000002,-1.9166666666666652,-2.0793333333333317,-1.5483333333333338,-1.0870000000000015,-1.2210344827586148,-1.4099999999999966,-1.0466666666666669,1.4959999999999969,-0.321666666666669,-0.6133333333333368,-0.41433333333333344
1919,-0.2680000000000007,-0.9966666666666653,-1.0093333333333323,-0.7183333333333337,-1.2570000000000014,-1.4010344827586163,0.020000000000003126,-0.016666666666669272,0.2859999999999978,-0.41166666666666885,-0.653333333333336,-1.2543333333333333
1920,-0.4580000000000002,-0.7466666666666653,-0.47933333333333206,-0.4583333333333339,-1.1270000000000007,-0.7810344827586153,0.5400000000000027,0.18333333333333002,-1.304000000000002,-1.0016666666666687,-0.3833333333333364,-0.17433333333333323
1921,-0.7080000000000002,-0.7266666666666648,-0.3793333333333315,-0.4583333333333339,-0.20700000000000074,-0.7210344827586148,0.060000000000002274,-0.6066666666666691,-2.2840000000000025,-1.11166666666667,-1.2533333333333365,-1.6543333333333337
1922,-0.798,-1.5766666666666653,-1.0493333333333323,-1.2583333333333346,-1.607000000000001,0.07896551724138412,-1.0899999999999963,-2.1466666666666683,-1.3840000000000021,-1.19166666666667,-1.323333333333336,-1.434333333333333
1923,-2.5980000000000008,-2.386666666666665,-1.9093333333333318,-0.4583333333333339,-1.1670000000000016,0.1589655172413842,0.8400000000000034,0.6933333333333316,0.2859999999999978,0.08833333333333115,-0.11333333333333684,-0.8743333333333334
1924,-0.9480000000000004,-0.2966666666666651,0.06066666666666798,-0.3483333333333345,-1.7070000000000007,-0.5510344827586149,-1.009999999999998,-0.9966666666666697,0.3059999999999974,-1.3316666666666688,-1.983333333333336,-1.144333333333333
1925,-2.0580000000000007,-1.426666666666665,-0.8793333333333315,0.1516666666666655,-0.657,2.3089655172413828,0.11000000000000298,-0.29666666666666686,-0.8640000000000025,-0.3116666666666692,-1.0533333333333363,0.28566666666666674
1926,0.782,1.5833333333333348,1.6906666666666679,2.1016666666666666,-0.4870000000000001,0.3389655172413839,0.120000000000001,-1.1066666666666691,-0.8540000000000028,-0.7116666666666696,0.4266666666666641,-0.4943333333333335
1927,-1.0180000000000007,-0.756666666666665,-0.6793333333333322,-0.8783333333333339,-1.5370000000000008,-0.011034482758615738,-1.3299999999999983,-0.21666666666666856,-1.1940000000000026,-0.5316666666666698,-1.323333333333336,-1.184333333333333
1928,-1.2780000000000005,-0.9766666666666648,-0.009333333333332305,-0.37833333333333385,-0.40700000000000003,-0.021034482758615525,0.240000000000002,-0.2766666666666673,-0.054000000000002046,-0.5016666666666687,0.22666666666666302,0.26566666666666716
1929,-0.3180000000000005,-0.2266666666666648,0.07066666666666777,-0.19833333333333414,,-0.9010344827586163,-0.9199999999999982,-0.6666666666666679,0.37599999999999767,0.16833333333333123,0.05666666666666309,0.5156666666666672
1930,-1.338,-0.756666666666665,-0.6593333333333318,0.44166666666666643,-0.8070000000000004,-1.501034482758616,-0.5599999999999987,0.3233333333333306,-0.024000000000002686,-1.2016666666666698,-0.7433333333333358,-0.08433333333333337
1931,0.3119999999999994,-0.1566666666666654,0.18066666666666809,1.3716666666666661,1.6629999999999985,0.5289655172413852,1.3900000000000041,0.9033333333333324,-0.36400000000000254,-0.7116666666666696,-0.8633333333333368,-0.8143333333333329
