Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1954,,,,,,,-0.3888888888888893,-0.9585782556750271,0.15592592592592247,,,
1955,0.1304469987228618,-0.10531034482758717,-1.0051851851851845,-1.3615384615384594,-1.42197956577267,-1.4813660477453574,-0.5466666666666651,-0.2714814814814801,-0.5474074074074071,-0.9342150537634399,-1.8864417989417968,-1.3769458128078806
1956,-1.3224630541871907,-1.585606641123884,-1.8773280423280392,-1.570797720797719,-0.9285424133811233,-0.8508241758241777,-1.1799999999999962,-0.22814814814814355,-0.08591315453384318,-0.9373333333333331,-0.9410714285714281,-0.5188505747126433
1957,-2.357701149425287,-1.900024630541874,-1.408518518518516,-1.228779840848805,-0.8837037037037039,-0.2744694960212204,-0.18709677419354698,1.0118518518518531,0.8658109833971892,-0.7613563218390809,-0.043657635467978295,0.5106117908787544
1958,0.09412680756396075,0.26453580901856544,0.2814814814814852,0.7229442970822308,0.5090549169859511,0.5634615384615387,-0.5580645161290292,0.7070899470899494,0.07270753512132799,-0.2793763440860264,-0.5195197044334954,0.25577308120133413
1959,-0.3643678160919537,-0.4819029374201804,-0.18228195937872993,-0.4287798408488044,-0.637037037037036,-0.26067639257294317,0.5321428571428566,-0.38115890083631854,-0.24407407407407788,-0.4987311827956997,-0.5927380952380954,-0.022183908045976253
1960,-0.6577011494252867,-0.41788177339901633,-0.930669056152925,-0.6948717948717942,-0.16402628434886246,-0.8232051282051298,-0.6096774193548384,-0.5048148148148144,-0.33763729246487806,-0.30495238095238086,-0.07321428571428257,0.4266256157635464
1961,0.28344827586207,0.3666896551724106,0.0014814814814840815,0.11259946949602195,0.24629629629629513,0.3956043956043942,0.006451612903221715,0.3354150702426608,0.2899489144316707,-0.3870952380952364,-0.8929945054945057,-0.6193103448275847
1962,-0.9910344827586197,-0.9285960591133042,-1.4651851851851818,-1.2382051282051254,-1.2672520908004792,-0.895159151193635,-0.9862068965517281,-0.14648148148147833,-0.10315453384419015,-0.1513809523809524,1.104761904761908,0.6772413793103444
1963,0.25541713014460665,0.610689655172413,0.2564277180406229,-0.08153846153845912,-0.005961768219830077,-0.21653846153846246,0.2870967741935484,0.37690561529271527,1.2192592592592604,1.0690107526881736,0.9905952380952403,0.8912569521690772
1964,0.7715461624026707,0.6520689655172394,0.014492234169656726,-0.5548717948717927,-1.141445639187575,0.24679487179487047,0.1580645161290306,0.6446475507765861,-0.3674074074074074,-0.3890537634408613,-0.8460714285714275,-0.4129246487867162
1965,-1.214367816091955,-1.2250246305418742,-1.1242174432496972,-0.9582051282051252,-1.2317682198327375,-1.3198717948717977,-0.5129032258064505,-0.5005137395459958,-1.4774074074074086,-1.0955053763440876,-0.4760714285714265,0.40876847290640583
1966,-0.5026473859844254,-0.16788177339901722,-0.4242174432496988,-0.6615384615384592,-1.1543488649940272,-0.5698717948717977,-0.2354838709677427,-0.013416965352444521,-0.24074074074074225,-0.372924731182799,-0.4894047619047619,-0.028097886540600747
1967,-0.2736151279199106,-0.10716748768473039,-0.8403464755077641,-0.6415384615384587,-0.18338112305854182,-0.18320512820512924,0.183870967741937,1.1640023894862637,1.2959259259259248,0.6915913978494626,0.7005952380952394,0.26948275862068893
1968,-0.6155506117908782,-0.9662334217506645,-0.12421744324969897,-0.6982051282051271,-0.2699999999999996,0.7034615384615375,0.7290322580645157,0.009163679808841252,0.2959259259259248,-0.3116344086021563,-0.07607142857142435,-0.2797107897664066
1969,-1.9010344827586207,-1.8785960591133026,-1.027443249701312,-1.1915384615384585,-0.9769295101553155,0.7734615384615395,-0.12258064516128897,-0.7940621266427677,-0.7307407407407407,0.23675268817204298,0.7705952380952432,0.43964404894327114
1970,-0.04458286985539317,0.15354679802955307,0.16610513739546295,-0.461538461538459,-1.03821983273596,-0.896538461538464,-0.7903225806451619,-0.4553524492234171,-0.7774074074074058,-0.6148602150537652,-0.7294047619047603,-0.857130144605116
1971,-1.463937708565072,-1.335738916256159,-1.4435722819593764,-1.5982051282051266,-1.8962843488649934,-1.06320512820513,-0.25806451612903203,0.41238948626045513,-0.37074074074074126,-0.39227956989247126,-0.7294047619047603,-1.40551724137931
1972,-2.0574860956618446,-2.113448275862071,-1.743572281959377,-1.8882051282051258,-1.551123058542414,-1.23320512820513,-0.4032258064516139,0.1123894862604562,-1.7374074074074066,-2.085827956989249,-1.086071428571426,-0.9958398220244717
1973,-1.1349054505005567,-1.1143103448275893,-0.9403464755077646,-0.9215384615384599,-0.9962843488649948,-0.743205128205128,-0.9354838709677384,-0.2359976105137367,-0.24074074074074048,-0.5148602150537656,-1.53940476190476,-0.6958398220244719
1974,-0.8768409343715229,-0.9035960591133039,-0.9919593787335703,-0.6948717948717942,-1.2156391875746717,-1.1898717948717934,-0.24838709677419324,-0.552126642771805,0.7725925925925914,0.027075268817203124,-0.01940476190476126,0.4331924360400441
1975,-0.6381312569521675,-1.3678817733990156,-1.2016367980884084,-1.3515384615384605,-1.0156391875746724,-1.3965384615384622,-0.5870967741935473,-0.9489008363201918,-1.0107407407407383,-0.45034408602150755,-0.43607142857142733,-0.534549499443826
1976,-0.5800667408231357,-0.8272413793103475,-1.46937873357228,-1.25153846153846,-1.576929510155317,-1.2598717948717955,-0.2645161290322573,-0.5424492234169644,-0.35740740740740584,-0.19227956989247375,0.08059523809523839,0.31383759733036776
1977,-0.5445828698553941,0.37140394088669826,-0.12099163679808633,-0.13820512820512576,-0.593058542413381,-0.9098717948717958,-0.7967741935483872,0.9801314217443267,0.655925925925926,0.11417204301075046,-0.6160714285714253,-0.6535172413793093
1978,-0.4832925472747487,0.04283251231526908,-0.2984109916367954,-0.04153846153845997,-0.3091875746714443,-0.9398717948717952,-1.893548387096775,0.06400238948626225,0.14592592592592446,0.4432043010752711,0.09392857142857203,-0.276484983314794
1979,-1.1058731924360403,-1.4285960591133007,-0.8919593787335707,-0.25153846153845905,-0.11563918757467206,-0.44653846153846466,0.43548387096774377,0.8603367003367026,1.285925925925925,1.2593333333333323,0.5772619047619063,0.5880311457174647
1980,-0.23167964404894192,-0.20655172413793377,-0.1597013142174415,-0.2448717948717949,-0.15434886499402545,-0.35653846153846125,0.34782608695651973,-0.3489008363201904,-0.810740740740739,-0.13421505376343923,0.8439285714285738,0.3106117908787551
1981,0.7167074527252506,0.5986896551724108,0.8919115890083642,0.10512820512820653,-0.12197956577266744,0.17086894586894275,-0.6258064516129025,-0.07793309438470253,1.2285185185185217,0.5206236559139796,1.127261904761907,1.0396440489432708
1982,0.025888594164456435,-0.4535960591133037,-0.6951851851851831,-0.7015384615384619,-1.267037037037035,-0.6057692307692317,-0.048387096774195726,0.08980884109916865,0.1659259259259258,-0.17292473118279972,-0.39940476190476026,0.19448275862068964
1983,0.2811083743842371,0.9142610837438392,0.8983632019115912,1.4284615384615424,1.3037156511350076,0.4301282051282076,1.5322580645161281,1.322066905615296,0.6759259259259238,0.5786881720430106,0.6405952380952389,0.4589988876529496
1984,0.7457397107897652,0.6865517241379289,0.815529100529103,0.19190981432360843,-0.24144563918757456,-0.383205128205125,-0.1258064516129025,0.9156152927120687,0.4259259259259256,0.06578494623655651,-0.23940476190476012,-0.3119688542825365
1985,-0.2284538375973293,-0.532167487684732,-0.6371206690561504,-0.6615384615384592,-0.844671445639186,-0.5532051282051285,0.07741935483871032,-1.3682556750298662,-1.2640740740740721,-0.8051827956989239,-1.6394047619047605,-1.276484983314794
1986,-0.6478086763070072,-1.0000246305418745,-0.3306690561529253,-0.30153846153845976,-0.664026284348866,-0.22653846153846047,0.04838709677419395,-0.8263201911589011,-0.4074074074074048,0.1399784946236533,0.4339285714285719,0.4009343715239151
1987,0.4489655172413798,0.49283251231526837,0.6790083632019135,0.42179487179487296,-0.04467144563918879,-0.0232051282051291,-0.25806451612903203,-0.28438470728793064,-0.4774074074074086,0.13997849462365508,0.8705952380952411,0.8654505005561743
1988,0.7392880978865408,0.21413793103448064,0.1919115890083667,-0.19153846153846033,0.21016726403823327,-0.01653846153846139,0.1709677419354847,-0.4230943847072872,-0.1774074074074079,0.4528817204301081,0.5223901098901127,0.10738598442714142
1989,-0.09942157953281505,-1.3678817733990192,-0.9758303464755045,-0.4348717948717935,0.513393070489844,-0.2498717948717939,1.0903225806451626,0.5865830346475533,-0.1540740740740727,0.1206236559139775,0.35726190476190567,0.7428698553948836
