YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1934,0.8103333333333333,,,,,,,-0.010344827586209249,-0.3517241379310363,-0.39833333333333165,-0.2146666666666679,-0.07533333333333303
1935,-2.1196666666666664,-0.7746666666666666,-1.6769999999999996,-0.7662068965517275,-0.9972413793103456,-0.6183333333333305,-0.3706666666666685,-1.0603448275862082,-0.5817241379310367,-0.4983333333333331,-0.9746666666666695,0.08466666666666711
1936,-0.039666666666666295,-0.9746666666666659,-1.3169999999999993,-0.7262068965517283,-0.40724137931034576,0.9416666666666682,1.4093333333333309,-0.0003448275862076855,-0.2117241379310375,0.7616666666666667,1.0153333333333308,
1937,-0.8896666666666668,-0.6746666666666661,0.6430000000000007,-0.33620689655172775,-0.35724137931034683,-1.1583333333333314,-0.8506666666666689,-1.9103448275862078,-1.3717241379310359,-1.2383333333333333,-1.124666666666668,-0.2653333333333334
1938,-1.089666666666667,-1.804666666666666,-1.4869999999999992,-0.8662068965517289,-1.2772413793103468,-0.9883333333333315,-1.8006666666666682,-1.8403448275862075,0.30827586206896385,0.21166666666666778,-0.8146666666666693,-0.5953333333333335
1939,,-1.2546666666666662,-0.4369999999999994,-0.3662068965517289,-0.8272413793103457,-0.7883333333333322,-1.180666666666669,-1.7303448275862081,-1.5217241379310362,-1.718333333333332,-0.5146666666666686,0.49466666666666637
1940,-0.31966666666666654,-0.37466666666666626,-0.4169999999999989,0.18379310344827182,-0.3672413793103466,-0.7483333333333313,-0.08066666666666755,-0.5903448275862075,0.6182758620689626,0.47166666666666757,0.44533333333333225,0.6846666666666676
1941,0.7503333333333337,0.6753333333333345,1.7530000000000001,1.6537931034482725,0.732758620689653,0.5116666666666685,0.8993333333333329,-0.16034482758620783,-0.041724137931037575,0.23166666666666735,0.9753333333333316,0.464666666666667
1942,0.8203333333333331,0.5253333333333341,-0.006999999999999673,0.033793103448271467,0.11275862068965381,-0.1883333333333308,0.7393333333333327,-0.0003448275862076855,-0.9217241379310366,0.081666666666667,-0.7746666666666684,-0.5453333333333328
1943,-0.9796666666666667,-1.094666666666666,-0.8569999999999993,-0.7462068965517279,-0.897241379310346,-1.1883333333333308,-1.060666666666668,-0.9103448275862078,-0.25172413793103665,0.0016666666666669272,0.5153333333333308,0.5246666666666675
1944,0.12033333333333296,0.09533333333333349,-0.27699999999999925,-0.13620689655172846,-0.6172413793103466,-1.1183333333333305,-1.1306666666666683,-0.6603448275862078,0.02827586206896271,0.6916666666666682,0.5953333333333308,1.134666666666667
1945,0.6903333333333332,0.22533333333333339,-0.3569999999999993,-0.8462068965517275,-0.34724137931034704,-0.5383333333333322,-1.1506666666666678,-1.0103448275862092,-1.1917241379310362,-0.4883333333333333,-1.4646666666666688,-1.3553333333333333
1946,-0.549666666666667,-0.7846666666666664,-0.8169999999999993,-1.2162068965517285,-0.3072413793103461,-0.3783333333333321,-0.890666666666668,-0.6003448275862091,-0.30172413793103736,-1.668333333333333,-1.7646666666666686,-1.5153333333333334
1947,-1.8296666666666663,-0.8646666666666665,0.21300000000000097,-0.5662068965517282,0.27275862068965395,0.3016666666666694,-0.13066666666666826,0.1996551724137916,-0.3917241379310372,-0.7683333333333326,-0.2046666666666681,0.07466666666666733
1948,-0.029666666666666508,-0.4846666666666666,-0.7369999999999992,-1.1162068965517289,-1.1672413793103456,0.9216666666666686,-0.18066666666666897,-1.1203448275862087,-0.5117241379310364,-0.4783333333333317,-0.9246666666666687,-1.745333333333333
1949,-1.969666666666667,-1.5346666666666664,-0.9069999999999991,-1.236206896551728,-0.10724137931034683,-1.468333333333332,-1.1906666666666688,-1.1303448275862085,-0.4717241379310373,-0.8483333333333327,0.7353333333333314,-0.22533333333333339
1950,-2.7396666666666665,-2.554666666666666,-1.7969999999999997,-2.326206896551728,-2.107241379310347,-0.39833333333333165,-0.5306666666666686,-0.690344827586209,-1.1017241379310363,-1.1583333333333332,-1.244666666666669,0.44466666666666743
1951,-0.339666666666667,-1.2946666666666662,-1.3969999999999994,-0.09620689655172754,-0.1272413793103464,-1.0583333333333318,-0.430666666666669,-1.1703448275862076,-1.7917241379310376,-0.5383333333333322,-0.12466666666666804,-0.6853333333333333
