Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1934,0.8103333333333333,,,,,,,-0.008678160919540545,-0.34724137931034704,-0.39351851851851727,-0.2146666666666679,-0.07247619047619036
1935,-2.1182380952380955,-0.7746666666666657,-1.6773703703703697,-0.7662068965517275,-1.0005747126436795,-0.6183333333333323,-0.36808602150537517,-1.0651596424010243,-0.5852955665024666,-0.4946969696969692,-0.9746666666666695,0.08466666666666534
1936,-0.034827956989248676,-0.9746666666666668,-1.3144074074074057,-0.7282068965517272,-0.4094636015325701,0.942499999999999,1.4135000000000009,-0.0019577308120197756,-0.2089968652037637,0.7626344086021533,1.019948717948715,
1937,-0.8940144927536231,-0.6786666666666656,0.6463333333333345,-0.33916985951469236,-0.3605747126436789,-1.161666666666667,-0.847333333333335,-1.9059003831417645,-1.3748275862068962,-1.2416666666666636,-1.1267356321839106,-0.2670574712643665
1938,-1.089666666666667,-1.799666666666666,-1.4876451612903212,-0.862873563218395,-1.2772413793103485,-0.9916666666666654,-1.8003440860215072,-1.8400000000000034,0.30494252873563,0.21235632183908137,-0.8129425287356344,-0.5974761904761889
1939,,-1.2515897435897427,-0.4360322580645155,-0.3693103448275892,-0.8227252502780882,-0.7849999999999984,-1.1768735632183898,-1.7277641824249184,-1.5196551724137937,-1.7183333333333302,-0.5146666666666686,0.4918095238095228
1940,-0.3219247311827935,-0.378114942528736,-0.41667741935483793,0.18712643678160568,-0.3678865406006704,-0.7483333333333313,-0.08098924731183033,-0.5922803114571771,0.6216091954022946,0.4755376344086031,0.4486666666666643,0.6814408602150541
1941,0.7522688172043006,0.6717619047619063,1.7575161290322594,1.6537931034482742,0.7288876529477175,0.5116666666666685,0.8996559139784974,-0.16002224694104328,-0.04505747126437143,0.23360215053763334,0.9786666666666655,0.465311827956989
1942,0.8232365591397839,0.521761904761906,-0.010225806451611419,0.033793103448267914,0.10953281423804029,-0.19261904761904525,0.7351397849462327,-0.0020689655172425603,-0.9183908045977063,0.08499999999999908,-0.7780000000000005,-0.5498160919540211
1943,-0.9799892473118277,-1.0996666666666668,-0.852161290322579,-0.7462068965517297,-0.9001446051167985,-1.1849999999999952,-1.0584086021505357,-0.9148609566184653,-0.25068965517241715,0.004569892473119452,0.5119999999999969,0.52015053763441
1944,0.1232365591397846,0.09774712643678107,-0.2747419354838687,-0.13620689655172846,-0.6130478309232501,-1.1216666666666644,-1.1293763440860207,-0.6600222469410486,0.02494252873563063,0.69166666666667,0.5986666666666647,1.1298279569892484
1945,0.6909784946236561,0.22890476190476328,-0.3618387096774187,-0.8462068965517275,-0.34530589543937573,-0.5349999999999984,-1.1487311827957,-1.0084093437152397,-1.1883908045977023,-0.48897849462365706,-1.4646666666666688,-1.351047619047618
1946,-0.5541827956989245,-0.78895238095238,-0.8199032258064518,-1.2195402298850624,-0.30659621802002057,-0.38166666666666593,-0.8874408602150545,-0.5987319243604023,-0.30505747126436766,-1.6663978494623652,-1.7680000000000016,-1.518559139784946
1947,-1.8283763440860215,-0.8675238095238074,0.20912903225806367,-0.5662068965517282,0.2740489432702997,0.30500000000000327,-0.1261505376344072,0.20126807563960014,-0.3883908045977016,-0.7716666666666683,-0.20800000000000196,0.07466666666666821
1948,-0.02837634408602341,-0.48845977011494224,-0.7360322580645153,-1.1162068965517271,-1.1678865406006658,0.9250000000000043,-0.18098924731182997,-1.1213125695216917,-0.5083908045977026,-0.4783333333333317,-0.9267356321839113,-1.7475913978494626
1949,-1.9735376344086024,-1.5353809523809527,-0.9037741935483856,-1.2395402298850602,-0.10337041156840954,-1.4683333333333284,-1.1874408602150552,-1.1342157953281422,-0.47505747126437115,-0.8438172043010752,0.7353333333333314,-0.22178494623655798
1950,-2.7354999999999983,-2.549666666666666,-1.794096774193549,-2.329540229885061,-2.1033704115684095,-0.394999999999996,-0.5293763440860246,-0.6858286985539479,-1.0983908045977042,-1.15994623655914,-1.248000000000001,0.44918279569892494
1951,-0.34127956989247465,-1.2925238095238099,-1.3973225806451612,-0.09954022988505962,-0.12595105672970064,-1.0616666666666639,-0.42937634408602143,-1.1696996662958874,-1.7950574712643714,-0.5373655913978492,-0.12800000000000367,-0.6830752688172037
1952,-1.041279569892473,-1.6470804597701134,-1.126354838709677,-1.7128735632183947,-1.7614349276974455,-0.8016666666666659,-0.5067956989247318,-1.221312569521693,-0.48505747126437093,0.7658602150537632,-0.2480000000000011,-0.08307526881720317
1953,-0.7606344086021508,-1.0782380952380946,-0.029580645161290775,-1.2262068965517283,-0.3678865406006686,-1.421666666666665,,,,,,
1954,,,,,,,,,,,,
1955,,,,,,,,,,,,
1956,,,,,,,,,,,,
1957,,,,,,,,,,,,
1958,,,,,,,,,,,,
1959,,,,,,,,,,,,
1960,,,,,,,,,,,,
1961,,,,,,,,,,,,
1962,,,,,,,,,,,,
1963,,,,,,,,,,,,
1964,,,,,,,,,,,,
1965,,,,,,,,,,,,
1966,,,,,,,,,,,,
1967,,,,,,,,,,,,
1968,,,,,,,,,,,,
1969,,,,,,,,,,,,
1970,,,,,,,,,,,,
1971,,,,,,,,,,,,
1972,,,,,,,,,,,,
1973,,,,,,,,,,,,
1974,,,,,,,,,,,,
1975,,,,,,,,,,,,
1976,,,,,,,,,,,,
1977,,,,,,,,,,,,
1978,,,,,,,,,,,,
1979,,,,,,,,,,,,
1980,,,,,,,,,,,,
1981,,,,,,,,,,,,
1982,,,,,,,,,,,,
1983,,,,,,,,,,,,
1984,,,,,,,,,,,,
1985,,,,,,,,,,,,
1986,,,,,,,,,,,,
1987,,,,0.47795977011494095,0.028887652947721776,-0.6483333333333299,-0.5745376344086033,-0.7600222469410465,-0.5150574712643703,0.7400537634408604,0.921999999999997,0.2524086021505374
1988,0.5974301075268817,0.049471264367817014,0.47364516129032275,0.2404597701149367,-0.47756395995550704,-0.9349999999999952,-1.0132473118279606,-1.563248053392659,-1.0650574712643728,0.23682795698924863,-0.06800000000000317,0.3491827956989262
1989,-0.3445053763440873,-1.6853809523809513,-1.4553870967741922,-0.4695402298850606,0.1224360400444926,0.3716666666666697,-0.8713118279569922,-1.0636781609195403,0.19494252873563056,-0.13413978494623358,0.22533333333332983,0.8046666666666686
1990,0.6393655913978469,-0.7853809523809518,0.016333333333333755,0.9203448275862023,0.11598442714126556,-0.22833333333333172,0.7577204301075238,0.7851390433815375,0.9849425287356297,-0.3728494623655916,-0.13133333333333574,-0.535333333333333
1991,-0.6186989247311825,0.2324761904761905,0.060741935483871856,-0.05287356321839454,-0.1805747126436792,-0.8216666666666637,-0.41969892473118264,-0.2858286985539529,0.031609195402296564,0.201344086021507,0.1319999999999979,0.52015053763441
1992,0.652268817204301,0.8874022988505761,1.9639677419354857,1.0871264367816043,0.8740489432703011,0.5850000000000009,0.9157849462365544,-0.10195773081201409,-1.061724137931039,-0.12768817204301186,0.4519999999999964,0.06853763440860217
1993,-0.39289247311828035,-0.2960952380952371,0.33816129032258146,-0.05287356321839809,0.15791991101223424,0.21833333333333727,-0.5487311827956987,-0.11486095661846818,-0.3450574712643686,0.6755376344086059,0.10533333333333061,0.18144086021505323
1994,1.0361397849462373,-0.3032380952380951,0.08009677419354766,0.7637931034482719,0.280500556173525,-0.04833333333333201,0.012559139784944051,1.0593325917686265,0.7316091954022959,-0.31478494623655884,-1.3413333333333348,-0.5508172043010742
1995,0.44904301075268727,0.1110476190476204,0.3026774193548398,0.5337931034482715,0.6579199110122342,0.6449999999999996,0.4254623655913985,-0.36647385984427316,1.1449425287356263,0.8045698924731184,1.1186666666666643,0.9782150537634395
1996,0.49097849462365506,0.3805057471264366,0.4478387096774199,0.11045977011493946,-0.7001446051167992,-0.1916666666666682,-0.39389247311828335,-0.6955061179087885,-0.2750574712643701,-0.5631720430107539,-0.14800000000000146,-0.9185591397849464
1997,-0.9283763440860202,0.2324761904761905,-0.8263548387096771,-0.6295402298850625,-0.04530589543938035,0.12833333333333563,-0.2938924731182819,-0.4309899888765294,0.9949425287356313,0.7013440860215052,1.5020000000000007,1.2453809523809527
1998,-0.07031182795698854,0.6882962962962971,0.8188064516129057,0.5404597701149392,0.18695216907674883,-0.34500000000000064,0.3254623655913935,0.19159065628475958,-0.29505747126436965,-0.4850000000000012,-0.14466666666666939,-0.318559139784945
1999,-0.42192473118279583,-0.6425238095238095,-0.852161290322579,-0.8962068965517265,-1.5936929922135707,-1.7083333333333321,-1.777763440860216,-0.7987319243604016,-1.2217241379310355,-1.1663978494623652,-0.958000000000002,-0.48307526881720353
2000,-0.7638602150537634,-0.35742528735632284,-0.24893548387096853,0.07379310344827061,-1.0872413793103437,-0.7183333333333302,-0.7971182795698937,-1.108409343715243,-0.5783908045977029,-0.6244623655913966,-0.3346666666666689,-0.7572688172043023
2001,-0.17353763440860348,-0.621095238095239,-0.3715161290322566,-0.5728735632183959,-1.2614349276974437,-1.188333333333329,-1.3906666666666734,-1.7245383759733048,-0.8450574712643704,-1.0696236559139756,-1.0780000000000012,-0.46694623655913947
2002,-0.28321505376344014,-0.4389523809523812,-0.9005483870967739,-0.5562068965517302,-1.454983314794216,0.12500000000000355,-0.7971182795698954,-0.6084093437152411,-0.19505747126437,-0.5405913978494628,-0.588000000000001,0.6266021505376349
2003,0.8425913978494632,0.6574761904761921,-0.3489354838709682,-0.39620689655172825,-0.7807897664071195,0.04499999999999993,0.14804301075268889,-0.12776418242492227,-0.43839080459770763,0.32392473118279597,-0.4646666666666679,-0.5153333333333334
2004,-0.060634408602150636,0.5598160919540236,0.5768709677419359,0.8304597701149383,1.0805005561735275,0.7550000000000026,0.5222365591397828,0.4948164627363738,-0.14172413793103544,0.5116666666666667,0.5586666666666655,0.48144086021505306
2005,0.3296881720430127,0.0003333333333337407,1.0026774193548391,-0.26620689655172747,0.8127586206896549,0.13833333333333364,0.031913978494619855,-0.5955061179087906,-0.12505747126436972,-0.41155913978494496,0.04199999999999804,1.2104731182795723
2006,0.7038817204301075,0.13604761904762075,-0.4037741935483883,-0.42287356321839553,-0.2485317018909896,0.6916666666666664,0.06739784946235972,-0.7761512791991141,-0.6450574712643711,-0.556720430107525,-1.244666666666669,-0.30565591397849445
2007,-1.121924731182797,-0.5460952380952389,-0.9166774193548388,-0.9162068965517278,-0.6033704115684078,-0.8583333333333307,0.1996559139784928,0.49481646273637026,-0.5083908045977079,-1.1405913978494677,-0.4180000000000028,-0.5411397849462363
2008,-0.8703118279569892,-0.7677701149425289,-1.1715161290322582,-1.326206896551728,-1.0130478309232487,-1.3049999999999997,-0.7100215053763446,-0.7471190211345924,-0.8250574712643708,-1.0502688172043033,0.1153333333333304,-0.3121075268817206
2009,-1.4832150537634403,-1.038952380952379,-1.4037741935483856,-0.8295402298850618,-0.9388542825361519,0.17500000000000426,-0.7745376344086061,-0.16647385984427032,-0.14172413793103722,-0.4696236559139795,-0.19466666666666832,-1.189526881720429
2010,0.7232365591397851,0.88247619047619,0.5220322580645167,-0.12620689655172868,-0.7453058954393779,-0.6583333333333314,-0.24227956989247446,-0.6309899888765305,-0.6924384236453207,0.36908602150537995,0.1653333333333329,-0.19920430107526865
2011,-0.3122473118279574,-0.6568095238095237,-0.6199032258064507,-0.989540229885062,-1.122725250278089,-0.6483333333333299,-0.6584086021505389,0.11739710789766278,-0.02172413793103445,-0.32768817204301115,-0.4646666666666679,-0.7604946236559149
2012,-0.863860215053764,-0.17466666666666697,-1.9069999999999991,-0.13620689655172669,-0.3227252502780864,0.13833333333333542,0.6770752688171999,0.4593325917686286,0.5982758620689648,-0.20510752688171863,0.3619999999999983,0.2653118279569888
2013,0.4974301075268812,0.9967619047619056,0.08332258064516118,0.9304597701149397,0.9675973303670773,-0.4716666666666658,0.5448172043010739,-0.31486095661846747,1.544942528735632,0.6239247311827985,0.39866666666666184,-0.6379139784946242
2014,-0.3735376344086019,-1.1889523809523803,-0.11022580645161195,0.12045977011493747,1.4160919540229866,0.7150000000000016,0.5738494623655885,0.9690100111234692,1.0649425287356316,1.1013440860215074,-0.299149425287359,0.5491827956989246
2015,1.6006559139784935,2.153904761904762,2.1026774193548388,1.1237931034482713,1.015984427141266,1.11166666666667,0.8383655913978476,1.55610678531702,-0.2883908045977037,1.4239247311827974,0.3853333333333335,0.5911182795698915
2016,0.29097849462365577,0.7460229885057483,0.9897741935483886,,,0.8683333333333341,0.5028817204301088,,-0.3446871008940011,-0.33500000000000085,1.1817619047619026,0.14538095238095217
2017,0.11033333333333228,-0.6746666666666661,-1.0489354838709657,-0.07287356321839411,-0.01949944382647395,0.6683333333333348,0.3480430107526882,0.9980422691879873,,0.11424731182796144,-0.19466666666666832,0.08144086021505448
2018,0.24366666666666692,-0.3103809523809522,0.1833225806451626,-0.12435504469987713,1.495367316341829,0.34574074074074623,0.12838095238094915,0.7306075533661733,0.27938697318007755,1.196929824561403,0.5580606060606055,0.6320350877192995
2019,0.7103333333333337,-0.27031884057971034,1.200692307692309,1.2557931034482692,2.0973740053050367,0.9194927536231869,1.9283809523809499,1.6703448275862058,1.1759681697612692,-0.17040229885057379,0.7073333333333292,0.08012121212121137
2020,0.03138596491228007,-0.39535632183907854,0.43799999999999883,0.9904597701149385,1.096091954022988,0.692499999999999,0.6133333333333315,0.8576551724137929,1.4000940438871474,1.5202380952380956,0.06260606060605767,0.2846666666666655
2021,0.5194242424242423,-0.10323809523809224,0.420272727272728,1.263793103448272,1.0527586206896569,1.5629710144927582,1.30562962962963,0.6804244031830216,-0.02339080459770493,-0.4458333333333311,0.044424242424240035,-0.20699999999999896
2022,-0.31140579710144856,0.7503333333333337,0.47560869565217523,0.02379310344827168,,0.9125757575757607,1.0619649122806987,,,,,
2023,,0.392000000000003,-0.0498571428571406,-0.6428735632183962,1.390031347962383,-0.2483333333333313,0.8543333333333312,0.8256551724137893,-0.09476761619190732,1.1034313725490197,1.035333333333332,1.7763333333333327
