Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1937,-1.3233333333333333,-1.5392857142857146,-0.7359784946236552,-0.8625287356321829,-0.8349054505005586,-0.7533333333333321,-1.1470752688172041,-0.7871301446051167,-0.6473563218390836,-0.8687419354838752,0.18839080459769697,0.39001152073733003
1938,-0.01383512544802823,-0.871428571428571,-0.945655913978495,-1.8328991060025555,-1.9251085568326962,-1.5633333333333326,-1.5986881720430084,-1.371001112347054,-1.8546896551724181,-2.081000000000003,-2.5399425287356356,-0.7048809523809512
1939,0.3377777777777773,-0.8231481481481495,-0.9166236559139787,-1.385862068965519,-1.3994215795328167,-1.01333333333333,-0.9503010752688166,-1.175517241379314,-1.3706896551724164,-1.5816451612903286,-0.7516091954023008,0.3706566820276542
1940,0.3926164874551965,0.507758620689656,0.12531182795698825,0.527471264367815,0.07799777530589225,-0.10333333333332995,-0.3535268817204269,-0.8290656284760889,-0.46735632183908393,0.8925483870967721,0.7017241379310306,0.33839861751152256
1941,0.7087455197132613,0.7392857142857148,0.9801505376344082,0.9174712643678138,0.32638487208008726,0.1966666666666672,0.10776344086021794,-0.10325917686318675,-0.2140229885057483,0.15383870967741586,0.648390804597696,0.5416244239631336
1942,0.2635842293906805,0.4321428571428596,0.06799999999999962,-0.045862068965517366,-0.19296996662959032,-0.0799999999999983,-0.0922365591397849,-0.490355951056733,-0.6640229885057494,0.1635161290322511,-0.6182758620689697,-0.33579493087557566
1943,-0.5912544802867377,-0.8750000000000009,-0.8843655913978514,-0.5825287356321862,-0.7607119021134601,-0.6799999999999979,-0.6696559139784934,-0.6000333704115715,-0.5073563218390849,-0.2913225806451649,-0.11494252873563582,-0.1357949308755746
1944,0.03777777777777924,-0.3060344827586192,-0.4230752688172057,-0.5425287356321835,-0.7478086763070095,-0.4566666666666652,-0.2922365591397824,-0.5484204671857658,-0.8940229885057498,0.01512903225806106,0.5620689655172377,-0.006762672811056802
1945,0.26035842293906875,0.028571428571430246,-0.24243010752688132,-0.765862068965518,-0.7865183537263629,-0.6433333333333309,-0.608365591397849,-0.925839822024475,-0.9373563218390846,-1.088096774193552,-1.6816091954023014,-1.2228917050691228
1946,-0.675125448028675,-0.9642857142857144,-0.8230752688172078,-1.1658620689655201,-0.9220022246941078,-0.7633333333333336,-0.9761075268817194,-1.009710789766407,-1.1873563218390846,-1.3687419354838752,-1.7116091954023016,-1.3680529953917047
1947,-1.2654480286738359,-1.4107142857142838,-0.7585591397849472,-0.72919540229885,-0.9768409343715252,-0.3999999999999968,-0.2922365591397842,-0.6355172413793113,-0.7773563218390827,-0.12035483870968022,-0.6116091954023002,-0.18418202764976677
