YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1936,,,,,,,,,,0.9036666666666697,1.1659999999999986,0.12206896551724089
1937,-0.7517241379310349,-1.7620000000000005,-0.474137931034484,-0.3121428571428577,0.3179310344827595,-0.28068965517241473,0.45517241379310747,-0.20689655172413524,,,,
1938,,,,,,,,,,,,
1939,,,,,,,,,,,,
1940,,,1.2958620689655156,1.3878571428571425,1.8179310344827595,1.4593103448275855,0.5851724137931082,0.9431034482758633,-0.4416666666666682,0.12366666666667037,-0.12400000000000055,0.7420689655172419
1941,0.5782758620689652,0.7679999999999998,0.985862068965516,1.107857142857143,0.6479310344827596,0.9493103448275857,0.8251724137931085,-0.18689655172413566,-0.951666666666668,-0.40633333333333077,0.20599999999999952,0.3620689655172411
1942,0.918275862068965,0.7679999999999998,0.6058620689655161,0.20785714285714274,0.2979310344827599,-0.08068965517241367,0.19517241379310768,-0.7868965517241353,-1.7216666666666676,0.6136666666666688,-0.7840000000000007,-0.5979310344827589
1943,-1.201724137931035,-0.9320000000000004,-1.2041379310344844,-0.7221428571428579,-0.9120689655172409,,,0.6331034482758646,-0.1416666666666675,0.07366666666666966,-0.06400000000000006,0.4120689655172418
1944,0.378275862068965,0.1280000000000001,-0.2741379310344838,-0.2821428571428575,-0.3020689655172415,-0.21068965517241445,-0.3848275862068924,-1.8468965517241358,-2.121666666666668,0.33366666666666944,0.3460000000000001,0.2320689655172412
1945,0.5282758620689654,0.21799999999999997,0.11586206896551587,-0.552142857142857,-0.13206896551724157,-0.480689655172414,-0.3848275862068924,-1.1268965517241352,-1.781666666666668,-0.6563333333333308,-1.8340000000000005,-1.2779310344827586
1946,-0.6417241379310346,-0.5720000000000001,-0.6341379310344841,-0.30214285714285705,0.14793103448275957,-0.0006896551724135946,0.2551724137931082,0.10310344827586349,-0.6616666666666671,-0.9863333333333308,-2.0440000000000005,-1.887931034482759
1947,-2.0517241379310347,-2.162,-0.6241379310344843,-0.49214285714285744,0.16793103448275915,0.11931034482758562,0.39517241379310875,-0.4868965517241364,-0.451666666666668,-0.02633333333332999,-0.484,-0.22793103448275875
1948,-0.5617241379310345,-1.9220000000000006,-0.8741379310344843,-0.7821428571428575,-0.022068965517240358,-0.480689655172414,-0.48482758620689204,-1.5968965517241358,-0.4416666666666682,-0.9263333333333303,-0.9740000000000002,-2.137931034482759
1949,-1.4417241379310353,-1.9020000000000001,-1.144137931034484,-0.9521428571428574,-0.4420689655172403,-0.650689655172414,-0.7948275862068925,0.05310344827586455,-0.3816666666666677,-0.5763333333333307,-0.04400000000000048,-1.3479310344827589
1950,-3.661724137931035,-2.412,-1.5341379310344845,-1.0621428571428577,-0.8820689655172407,-0.39068965517241416,0.5251724137931078,0.3531034482758635,-0.22166666666666757,-0.77633333333333,-1.9140000000000006,-1.0379310344827584
1951,-1.041724137931035,-1.072,-1.684137931034484,-1.2021428571428574,-0.8420689655172406,-0.8506896551724132,-1.0248275862068912,-0.23689655172413637,-1.4016666666666673,-1.0963333333333303,-0.7240000000000002,-1.2379310344827585
1952,-1.8817241379310348,-1.6320000000000006,-1.1741379310344842,-1.092142857142857,-0.492068965517241,-0.6606896551724137,-0.5748275862068919,-1.1568965517241363,-0.4016666666666673,0.33366666666666944,0.2159999999999993,-0.2779310344827586
1953,-2.161724137931035,-0.5120000000000005,-0.6441379310344839,-0.30214285714285705,-0.032068965517240144,-0.12068965517241459,0.34517241379310803,0.23310344827586427,0.418333333333333,-0.2863333333333298,-0.18400000000000105,-0.01793103448275879
1954,-1.3017241379310347,-1.2720000000000002,-1.264137931034484,-1.5421428571428573,-0.952068965517241,-0.41068965517241374,-0.9148275862068918,-1.8768965517241352,-1.3416666666666668,-0.42633333333333034,0.1659999999999986,0.16206896551724093
1955,0.3282758620689652,-0.09200000000000053,-1.1041379310344839,-1.0321428571428575,-1.122068965517241,-0.9506896551724147,-1.6348275862068924,-1.256896551724136,-1.911666666666667,-1.1863333333333301,-2.2440000000000007,-2.0779310344827584
1956,-1.581724137931035,-1.782,-1.3341379310344843,-1.4221428571428572,-0.5720689655172411,-0.3706896551724146,-1.1848275862068913,-0.586896551724136,-2.211666666666668,-1.066333333333331,-1.024000000000001,-1.0679310344827586
1957,-1.3617241379310352,-1.492,-1.3641379310344837,-1.012142857142858,-0.5820689655172409,0.029310344827585766,0.14517241379310875,0.1531034482758642,0.7183333333333319,0.1136666666666688,0.9659999999999993,-0.42793103448275893
1958,0.21827586206896488,0.3979999999999997,0.5458620689655156,1.577857142857142,1.4579310344827583,-1.5506896551724143,-0.5448275862068925,-1.0368965517241353,-0.9816666666666674,-0.5963333333333303,-0.19400000000000084,-1.127931034482759
1959,-1.8217241379310352,-1.3320000000000007,-0.16413793103448437,-0.35214285714285776,-0.32206896551724107,-0.2506896551724136,0.3651724137931076,-0.4668965517241368,-0.9016666666666673,-0.3863333333333312,-0.7240000000000002,0.2920689655172408
1960,-0.40172413793103523,-0.5220000000000002,-0.5341379310344845,-1.0421428571428573,0.07793103448275929,-0.39068965517241416,-0.1348275862068924,-0.8868965517241367,-0.8516666666666683,-0.3363333333333305,-0.6539999999999999,-0.16793103448275915
1961,0.06827586206896541,0.16799999999999926,0.055862068965516265,-0.19214285714285761,0.2979310344827599,0.7293103448275868,0.10517241379310782,-0.7168965517241368,-0.5116666666666667,-1.2863333333333298,-1.1940000000000008,-1.0679310344827586
1962,-0.701724137931035,-0.9420000000000002,-0.9141379310344844,-0.6121428571428575,-0.7920689655172408,,-0.734827586206892,-0.836896551724136,-1.0116666666666667,0.07366666666666966,0.07599999999999874,0.27206896551724125
1963,0.028275862068965374,0.7079999999999993,0.31586206896551605,0.10785714285714221,0.5579310344827597,0.3293103448275865,0.22517241379310882,-0.13689655172413673,1.4283333333333328,0.8436666666666692,-0.6440000000000001,0.10206896551724132
1964,0.28827586206896516,0.17799999999999994,-0.3541379310344839,-0.7121428571428572,-0.8920689655172405,-0.8006896551724143,-0.3848275862068924,-0.49689655172413616,-2.0116666666666667,-0.6763333333333303,-1.104000000000001,-1.8179310344827586
1965,-1.4817241379310353,-1.1420000000000003,-0.7341379310344838,-0.5921428571428571,-0.8720689655172409,-1.0706896551724139,-1.3348275862068917,-1.0168965517241357,-2.1516666666666673,-0.11633333333332985,-0.5440000000000005,-0.3779310344827591
1966,-0.7217241379310346,-0.4820000000000002,-0.514137931034484,-0.6621428571428574,-0.7220689655172405,-0.7406896551724138,-1.4748275862068922,-1.1268965517241352,-0.4416666666666682,-0.8663333333333298,-1.0840000000000014,-0.7679310344827588
1967,-0.6317241379310348,-0.5520000000000005,-0.934137931034484,-0.8421428571428571,-0.39206896551724135,-1.0506896551724143,-0.3348275862068917,0.5031034482758638,0.9483333333333324,-0.08633333333333049,-0.12400000000000055,-0.5979310344827589
1968,-1.1917241379310353,-1.0920000000000005,-0.0841379310344843,-0.7121428571428572,-0.8320689655172409,0.03931034482758555,0.06517241379310867,-0.12689655172413516,0.32833333333333314,-0.8063333333333311,-0.5340000000000007,-1.047931034482759
1969,-2.071724137931035,-1.912,-1.4141379310344844,-1.0221428571428577,-0.5520689655172415,-0.5506896551724143,-0.17482758620689154,-0.7768965517241355,-0.7816666666666681,-0.3263333333333307,-0.07400000000000162,0.5620689655172404
1970,-0.4717241379310346,0.3179999999999996,0.4758620689655162,-0.22214285714285786,-0.39206896551724135,-0.6306896551724144,-0.4948275862068918,-0.4868965517241364,-1.9716666666666676,-1.566333333333331,-1.0140000000000011,-1.4179310344827591
1971,-1.6117241379310352,-1.6520000000000001,-1.644137931034484,-1.0721428571428575,-1.2220689655172405,-0.8306896551724137,-0.654827586206892,-0.07689655172413623,-0.4616666666666678,-2.2063333333333297,-2.054000000000001,-1.087931034482759
1972,-2.711724137931035,-2.612,-2.224137931034484,-2.1621428571428574,-1.3820689655172407,-1.1106896551724148,-1.324827586206892,0.3431034482758637,-1.1316666666666677,-1.2363333333333308,-0.38400000000000034,-1.1079310344827586
1973,-1.1417241379310346,-0.6420000000000003,-0.4041379310344837,-0.49214285714285744,-0.5120689655172406,-0.6206896551724146,-0.7248275862068922,-0.44689655172413545,-0.5716666666666672,-0.6963333333333299,-2.274000000000001,-1.1079310344827586
