Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1934,,,,,,,,13.979999999999999,12.34333333333333,10.448275862068964,10.103333333333332,8.974193548387097
1935,7.326666666666667,7.625,7.403333333333334,8.863333333333333,9.945161290322579,11.623333333333331,12.735483870967744,12.529032258064516,12.76666666666667,11.264516129032259,8.136666666666667,8.377419354838707
1936,8.016129032258064,6.63793103448276,7.6,8.563333333333333,10.44516129032258,13.719999999999999,14.293333333333335,14.561290322580644,12.930000000000003,11.761290322580647,9.093333333333334,8.40645161290323
1937,6.9064516129032265,6.362962962962963,8.026666666666667,9.151724137931033,10.287096774193552,11.716666666666669,12.148387096774194,12.919354838709678,11.729999999999997,11.020000000000001,10.406666666666665,9.035483870967743
1938,8.26774193548387,6.807142857142859,7.951612903225804,9.236666666666666,10.016129032258066,10.91,11.332258064516127,12.051612903225807,12.169999999999996,11.596774193548388,9.714285714285714,8.187096774193547
1939,7.936666666666666,6.695,,,,,12.500000000000002,13.774193548387096,12.37,10.938709677419354,10.53,10.075862068965519
1940,8.751612903225805,8.67142857142857,9.241935483870966,11.040000000000001,11.741935483870968,11.946666666666665,12.480645161290322,13.332258064516129,13.02,12.477419354838712,10.93,9.193333333333333
1941,8.451612903225806,9.039285714285715,9.945161290322579,11.153333333333332,12.45161290322581,13.056666666666665,14.123333333333333,13.10967741935484,13.48,12.161290322580646,10.940000000000001,9.664516129032258
1942,7.65,8.085714285714287,8.029032258064516,9.56896551724138,11.116129032258065,12.123333333333335,14.658064516129032,14.238709677419358,13.353333333333332,11.49032258064516,9.22,7.980645161290322
1943,6.790322580645161,7.04074074074074,7.464516129032258,9.560714285714287,9.980645161290324,11.389999999999999,12.370967741935482,12.996774193548388,13.100000000000001,11.616129032258065,10.22,9.164516129032258
1944,8.393333333333333,7.7344827586206915,8.116129032258065,9.373333333333333,10.654838709677419,10.723333333333333,12.016129032258068,13.487096774193548,12.783333333333335,12.066666666666666,11.44,9.506451612903225
1945,8.999999999999998,8.714285714285714,8.719354838709679,9.106666666666667,11.429032258064517,10.92,11.941935483870967,12.561290322580646,11.916666666666663,10.606451612903228,8.403333333333334,7.638709677419356
1946,7.91,7.3928571428571415,8.029032258064516,8.841379310344827,10.216129032258069,12.640000000000002,12.667741935483871,12.864516129032257,12.156666666666665,10.403333333333332,8.229999999999999,7.251612903225805
1947,6.474193548387096,6.799999999999999,8.15483870967742,9.272413793103448,10.261290322580642,12.416666666666664,13.338709677419356,14.267741935483869,12.550000000000002,11.306451612903228,10.263333333333334,8.451612903225806
1948,7.5838709677419365,6.975862068965518,7.219354838709678,8.116666666666665,10.125806451612904,11.623333333333333,12.854838709677422,13.348387096774195,13.04666666666667,10.983333333333333,8.536666666666667,6.738709677419354
1949,5.193548387096775,5.45925925925926,7.103225806451613,8.620000000000001,10.903225806451612,10.6,11.813333333333334,13.153571428571427,12.12,10.058064516129031,9.739999999999998,8.470967741935485
1950,5.216129032258065,5.8928571428571415,7.086666666666665,8.16,8.754838709677419,11.340000000000002,11.377419354838713,12.072413793103445,11.973333333333331,11.009677419354842,9.74,9.01290322580645
1951,8.15483870967742,7.282142857142856,7.061290322580646,8.786206896551725,9.92258064516129,11.09,12.899999999999999,13.399999999999999,12.196666666666667,11.500000000000004,9.844444444444445,8.385714285714286
1952,6.9148148148148145,7.325,7.848275862068967,8.660714285714285,10.480645161290326,11.326666666666666,12.154838709677417,13.129032258064516,12.559999999999999,11.492857142857147,9.207407407407407,8.146153846153847
1953,8.145161290322582,8.389285714285714,8.548275862068968,9.183333333333334,11.261290322580644,11.4,11.89032258064516,13.129032258064516,13.23,11.919354838709676,10.804,9.61290322580645
1954,8.892000000000001,7.811111111111111,8.013333333333332,8.443333333333332,9.593548387096773,11.24333333333333,12.396774193548389,12.880645161290325,12.636666666666665,11.362068965517242,11.149999999999999,9.882608695652175
1955,8.366666666666667,7.582608695652173,7.373333333333333,7.978571428571428,8.803225806451612,10.43103448275862,11.545161290322582,11.841935483870966,11.786206896551727,10.793103448275865,8.628,7.403703703703703
1956,6.955555555555555,6.863636363636363,7.6499999999999995,8.316666666666666,8.819354838709678,10.038095238095238,12.303333333333335,12.654838709677422,12.05833333333333,11.100000000000001,9.516,7.954166666666667
1957,6.364000000000001,6.283333333333334,7.357692307692307,8.907407407407407,10.523076923076927,11.526923076923076,12.867857142857142,13.853846153846156,14.139285714285716,12.187999999999999,11.140000000000002,9.538888888888888
1958,8.776190476190477,9.457142857142859,9.312,10.479166666666666,11.885185185185186,13.833333333333336,14.8,14.565517241379313,13.343333333333334,11.317241379310346,9.999999999999998,8.85925925925926
1959,8.151612903225805,7.9,8.457142857142859,9.536666666666667,10.758620689655173,12.082758620689654,12.293103448275865,12.949999999999998,12.97037037037037,11.24666666666667,9.107999999999999,8.28888888888889
1960,7.191666666666667,7.912500000000001,7.720689655172415,9.67777777777778,11.0,10.85925925925926,11.224137931034482,13.31935483870968,13.448275862068968,11.655555555555555,11.130434782608694,9.283333333333333
1961,8.596428571428572,8.873913043478263,8.996428571428572,9.507142857142856,11.214814814814813,11.857142857142858,14.131034482758619,13.717241379310344,12.725,10.373333333333331,8.407142857142857,7.203846153846156
1962,7.106896551724137,7.812,7.63,9.442857142857141,10.600000000000001,11.05357142857143,11.216666666666665,13.124137931034479,13.058620689655172,12.719999999999997,12.0,10.325000000000001
1963,8.145161290322578,8.764285714285712,8.596428571428572,10.093103448275862,11.858620689655174,11.426666666666666,13.500000000000002,14.245161290322578,14.313333333333336,13.181818181818182,11.344444444444445,9.945833333333333
1964,9.0375,8.710344827586207,8.696774193548388,8.900000000000002,9.216129032258063,11.33666666666667,12.722580645161292,13.106451612903228,12.725000000000003,11.26,9.030000000000001,7.775000000000001
1965,7.211538461538461,7.357142857142856,8.18709677419355,8.756666666666666,9.903225806451612,11.069999999999997,11.767741935483873,12.883870967741935,12.670000000000003,11.531999999999998,11.129999999999999,9.82
1966,8.046666666666669,8.507142857142856,8.13225806451613,9.536666666666667,10.006451612903225,11.72,12.296774193548385,12.229032258064514,12.389999999999997,11.24516129032258,9.860000000000001,9.235483870967741
1967,8.40967741935484,8.407142857142857,7.893548387096773,9.109999999999998,10.048387096774194,11.903333333333332,12.716129032258069,13.148387096774195,13.336666666666666,12.632258064516128,11.25,8.764516129032257
1968,7.482142857142857,7.465517241379309,8.72258064516129,9.126666666666667,10.619354838709677,11.713333333333333,12.419354838709674,12.958064516129033,12.626666666666667,10.748387096774193,10.346666666666668,8.575
1969,6.5280000000000005,6.325000000000002,7.919354838709677,9.293333333333333,11.448387096774194,12.833333333333334,12.2,12.890322580645162,12.143333333333336,11.94516129032258,10.593333333333332,9.425806451612901
1970,8.312903225806451,8.828571428571427,9.080645161290322,9.506666666666668,10.206451612903223,11.22,12.470967741935484,12.483870967741938,12.356666666666664,10.493548387096775,9.613333333333332,7.874193548387097
1971,7.503703703703703,7.385714285714287,6.93225806451613,8.626666666666667,9.758064516129032,11.816666666666665,12.780645161290321,13.661290322580646,13.47,11.087096774193547,9.177777777777779,7.638709677419355
1972,6.409677419354839,5.924137931034483,7.887096774193547,8.389999999999999,10.219354838709679,11.446666666666665,12.980645161290322,13.841935483870968,12.356666666666667,10.496774193548386,9.186666666666667,7.841935483870968
1973,6.985714285714285,7.3428571428571425,8.480645161290324,9.400000000000002,10.448387096774193,11.603333333333333,12.467741935483868,12.83548387096774,12.58,11.27741935483871,9.096666666666666,8.86774193548387
1974,7.3903225806451625,7.528571428571429,7.70322580645161,8.98,10.000000000000002,10.736666666666668,12.993548387096775,13.983870967741936,13.450000000000001,11.158064516129029,9.45666666666667,9.083870967741936
1975,7.5387096774193525,6.707142857142856,7.55483870967742,8.8,10.309677419354838,10.773333333333333,12.01935483870968,12.593548387096773,13.143333333333333,11.529032258064516,10.046666666666669,8.455555555555557
1976,7.474193548387096,7.282758620689656,7.025806451612903,8.799999999999999,9.919354838709678,10.810000000000004,12.925806451612905,12.541935483870969,12.889999999999997,11.280645161290327,10.23333333333333,8.93225806451613
1977,7.8,8.390909090909092,8.587096774193547,9.663333333333334,10.66451612903226,11.866666666666667,11.903225806451614,14.35161290322581,13.400000000000002,11.858064516129033,9.43,8.364516129032257
1978,8.196774193548386,8.760714285714284,9.109677419354838,10.086666666666668,11.087096774193549,13.666666666666668,13.309677419354838,13.07741935483871,14.183333333333335,12.909677419354841,8.396666666666667,6.990322580645161
1979,6.009677419354839,6.110714285714286,8.138709677419355,9.250000000000002,11.496774193548386,11.546666666666665,13.606451612903227,14.009677419354835,14.880000000000003,12.348387096774195,10.54,9.687096774193549
1980,7.412903225806453,8.044827586206896,8.706451612903226,10.15,11.332258064516127,12.103333333333333,12.683870967741935,13.419354838709681,12.929999999999998,12.122580645161289,11.083333333333334,9.358064516129032
1981,9.583870967741934,9.010714285714284,9.687096774193549,9.979999999999999,11.448387096774194,12.48,13.36774193548387,13.832258064516129,13.273333333333333,12.474193548387095,11.203333333333335,9.258064516129034
1982,7.606451612903227,7.42142857142857,8.241935483870968,9.203333333333331,10.151612903225805,11.49,12.419354838709678,13.416129032258068,13.716666666666667,11.751851851851852,10.273333333333333,9.066666666666666
1983,8.889285714285714,9.514285714285714,10.638709677419355,11.373333333333333,12.92258064516129,12.729999999999999,13.909677419354837,14.196774193548386,13.51333333333333,11.406451612903227,10.889999999999999,8.196774193548388
1984,7.929032258064516,8.36551724137931,9.306451612903228,9.833333333333334,10.993548387096777,11.150000000000002,12.609677419354837,14.009677419354839,13.020000000000003,11.770967741935486,9.78,7.986666666666667
1985,7.664516129032258,7.307142857142857,7.812903225806452,9.016666666666667,10.593548387096776,11.29,13.448387096774194,14.187096774193549,12.730000000000002,11.24516129032258,8.48,6.977419354838711
1986,7.4645161290322575,7.557142857142857,9.525806451612903,9.473333333333333,10.396774193548387,12.346666666666668,12.829032258064514,13.470967741935484,12.673333333333336,11.600000000000003,10.506666666666668,9.017857142857142
1987,8.542307692307691,9.132,9.472413793103447,10.23333333333333,11.19677419354839,12.0,13.076666666666666,13.564516129032258,12.976666666666668,11.573333333333334,10.612,8.69047619047619
1988,8.200000000000001,7.925925925925926,8.553846153846154,9.717857142857143,11.561290322580644,11.958620689655175,13.02962962962963,14.174193548387098,13.374074074074073,11.958333333333334,10.549999999999999,9.212903225806452
1989,7.800000000000001,6.360714285714285,7.432258064516129,9.883333333333331,10.467741935483868,12.179999999999996,13.379999999999999,13.564516129032258,14.020689655172413,11.761290322580646,10.656666666666668,9.444827586206896
1990,8.803225806451614,7.559259259259259,8.632258064516128,9.89310344827586,11.10967741935484,12.763333333333334,13.639285714285716,14.363333333333333,14.023333333333333,11.1,10.639999999999997,8.393333333333333
1991,7.243333333333335,8.139285714285714,8.299999999999999,9.729999999999999,10.659999999999998,11.433333333333332,12.52258064516129,13.183333333333334,13.848275862068967,11.529032258064516,9.639285714285716,9.0
1992,8.619354838709677,9.367857142857142,10.216129032258062,10.7,12.119354838709677,12.973333333333333,14.406666666666668,14.561290322580646,12.386666666666665,11.390322580645158,10.175862068965518,8.467741935483874
1993,6.887096774193548,7.403703703703703,8.416129032258064,10.148275862068964,12.387096774193546,12.679310344827588,13.19032258064516,13.935483870967744,12.99310344827586,11.658064516129034,9.399999999999999,8.042857142857143
1994,8.520689655172413,7.614285714285714,8.500000000000002,9.78,11.01333333333333,11.96,12.726666666666667,14.169999999999996,13.113333333333333,11.135714285714286,9.051724137931034,7.906896551724138
1995,7.5677419354838715,8.364285714285716,8.766666666666664,9.88,11.125806451612904,11.641379310344826,13.35483870967742,13.358064516129033,13.433333333333335,12.003225806451612,10.414285714285713,9.512903225806452
1996,8.545161290322582,8.282758620689656,8.729999999999999,10.317241379310344,11.477419354838709,12.389655172413793,13.886666666666668,13.56,13.137931034482758,11.489999999999998,9.229999999999999,7.983333333333334
1997,8.04516129032258,8.303571428571427,8.276666666666667,10.086666666666668,12.196774193548388,13.492857142857144,13.429999999999998,14.941935483870967,16.083333333333332,13.920000000000003,11.77142857142857,9.744444444444445
1998,8.440740740740742,9.65,9.789999999999997,10.386666666666667,11.329032258064515,12.393103448275864,12.916129032258066,13.306666666666668,13.05,11.761290322580646,10.467857142857142,8.903333333333332
1999,8.163333333333334,7.595454545454545,7.896774193548388,8.866666666666667,9.716666666666665,10.833333333333332,11.838709677419352,12.906451612903224,12.40689655172414,10.710714285714285,9.689655172413794,8.936666666666667
2000,7.506451612903225,7.6482758620689655,8.422580645161291,9.624137931034484,10.83548387096774,11.62,12.543333333333335,13.363333333333333,12.73448275862069,11.00333333333333,9.313333333333334,7.8034482758620705
2001,7.741935483870967,7.351851851851853,8.161290322580644,9.140000000000002,10.139999999999999,10.976666666666667,11.716666666666667,12.589655172413796,12.293333333333335,10.561290322580646,9.371428571428572,8.422580645161291
2002,7.9833333333333325,7.553571428571429,7.603225806451613,9.303448275862067,9.996774193548388,11.793333333333331,12.954838709677418,13.53,12.360000000000001,10.832258064516127,9.610714285714284,9.233333333333333
2003,9.238461538461538,8.860714285714286,9.12758620689655,9.955172413793104,10.787096774193548,11.946666666666667,13.103333333333335,13.426666666666668,12.686666666666667,11.680000000000001,9.590000000000002,8.616666666666669
2004,7.864516129032258,8.192857142857143,8.87,10.42,11.383870967741935,12.556666666666667,13.6,14.263333333333334,13.282758620689656,11.910344827586208,10.200000000000001,8.826666666666666
2005,7.7290322580645165,7.896428571428571,9.179310344827588,10.133333333333333,12.349999999999998,12.749999999999996,13.103448275862068,13.174193548387096,13.055172413793104,11.819354838709678,10.329629629629629,8.616
2006,9.357142857142858,7.165384615384616,8.24137931034483,9.499999999999998,10.820689655172414,12.773333333333332,12.686666666666664,12.986206896551725,12.532142857142857,10.93333333333333,9.259090909090908,8.333333333333332
2007,7.445161290322581,7.66,8.056666666666667,9.326666666666664,9.969999999999999,11.486206896551725,13.879999999999999,13.993333333333334,12.575,10.893333333333333,9.453571428571427,7.5807692307692305
2008,7.816129032258064,7.86206896551724,8.258620689655173,9.133333333333333,10.646428571428572,11.244827586206895,12.453333333333335,13.789655172413795,13.506666666666664,11.446666666666665,10.7,8.733333333333333
2009,7.635483870967743,7.592592592592592,7.958064516129032,9.620689655172416,11.01,12.117241379310348,13.43793103448276,14.2,13.948275862068964,12.016666666666664,10.703846153846154,8.70967741935484
2010,9.148275862068964,9.296153846153846,9.43448275862069,10.200000000000001,10.777419354838708,11.813793103448274,12.707407407407405,13.117241379310345,12.651851851851852,11.49090909090909,9.87857142857143,8.239285714285716
2011,7.587096774193549,8.042307692307691,8.95,9.664285714285713,10.816666666666665,11.831034482758621,12.403333333333332,13.528571428571428,13.406896551724138,12.617241379310345,9.757692307692308,8.523333333333333
2012,7.565517241379312,7.464285714285714,7.351724137931035,9.341379310344827,10.341935483870966,11.12758620689655,12.8,13.37,13.110344827586207,10.535483870967743,10.075,9.096666666666666
2013,7.540000000000001,8.074074074074073,7.9333333333333345,8.996551724137932,10.943333333333333,12.336666666666666,13.141935483870967,13.516666666666667,14.267857142857142,13.179999999999998,9.049999999999999,7.325806451612902
2014,7.603333333333334,6.981481481481483,8.580645161290322,10.125000000000002,12.336666666666664,11.756666666666668,12.758620689655173,13.506451612903225,14.086666666666666,13.993103448275862,11.639999999999997,9.7
2015,9.432258064516128,10.10714285714286,10.163333333333332,10.986206896551723,11.7,12.224137931034482,14.34137931034483,14.200000000000001,13.682758620689654,13.279310344827582,10.966666666666665,9.388461538461538
2016,8.586666666666666,9.337037037037035,9.98214285714286,11.110714285714284,11.783333333333331,12.531034482758624,13.313333333333333,13.962068965517243,12.93103448275862,12.065517241379311,12.007142857142854,9.27142857142857
2017,7.634482758620688,7.473076923076922,8.274193548387096,10.055172413793102,11.083333333333334,12.435714285714287,12.919354838709678,14.225000000000003,13.860000000000001,11.506666666666668,10.014814814814814,8.976666666666667
2018,8.518518518518517,8.382142857142858,8.559999999999999,10.056666666666668,11.382142857142858,12.162962962962965,13.790322580645162,13.933333333333335,12.965517241379313,11.996774193548388,10.603448275862071,9.075
2019,8.658333333333331,7.735714285714286,8.493333333333332,10.66896551724138,12.265517241379312,11.868965517241381,13.96896551724138,14.809677419354838,14.253333333333334,11.662068965517241,9.848275862068965,8.548275862068964
2020,8.35,8.455555555555554,8.623333333333335,9.693333333333333,12.093548387096776,11.913793103448278,13.030000000000001,14.25862068965517,14.123333333333335,12.538709677419357,9.94074074074074,8.8
2021,8.653846153846153,7.985185185185185,8.416129032258064,9.896666666666668,10.663333333333334,12.223333333333333,13.168965517241382,13.496774193548388,12.796666666666669,11.522222222222224,10.556666666666667,8.6
2022,7.910344827586207,8.13076923076923,8.523333333333333,8.948275862068966,10.696551724137933,12.089285714285712,13.087096774193549,15.050000000000002,13.503333333333332,11.729032258064516,8.979999999999999,7.95925925925926
2023,8.425,8.092592592592593,7.986206896551724,9.066666666666665,10.73333333333333,11.679310344827586,12.9,14.17741935483871,13.833333333333336,13.325,11.458620689655174,10.446153846153845
