Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1961,,,,9.029166666666665,11.574193548387097,15.423333333333334,17.48709677419355,17.87333333333333,14.633333333333333,10.74516129032258,8.763333333333332,7.506451612903226
1962,,,,8.586206896551724,11.409677419354841,14.583333333333334,17.435483870967737,15.048275862068966,15.13,10.803333333333336,9.620689655172416,7.99655172413793
1963,7.051612903225807,7.792857142857143,8.016129032258064,9.149999999999999,12.383870967741936,14.87,15.680645161290325,17.751612903225805,14.813333333333334,11.574193548387099,8.500000000000002,7.751612903225806
1964,7.335483870967741,7.072413793103447,7.490322580645162,8.586666666666666,10.961290322580643,14.400000000000002,15.366666666666664,14.806451612903226,13.806666666666667,11.219354838709679,8.706666666666667,7.048387096774194
1965,6.174193548387097,6.110714285714285,6.880645161290324,8.273333333333332,11.18064516129032,14.763333333333334,17.80322580645161,17.499999999999996,14.516666666666671,10.345161290322583,9.226666666666667,7.8193548387096765
1966,6.59032258064516,6.717857142857142,7.370967741935483,9.1,11.267741935483869,13.096666666666666,16.116129032258062,16.783870967741933,13.393333333333334,10.974193548387095,8.94,7.929032258064517
1967,7.0032258064516135,6.885714285714285,7.1483870967741945,8.463333333333333,11.55161290322581,17.07,17.245161290322578,19.490322580645167,13.91666666666667,10.661290322580644,9.34,7.583870967741936
1968,7.119354838709677,6.796551724137931,7.619354838709679,8.54,11.819354838709677,14.396666666666668,17.296774193548384,16.13225806451613,13.623333333333335,10.554838709677417,8.973333333333333,7.1
1969,5.319354838709678,5.857142857142857,6.767741935483871,7.856666666666667,12.238709677419356,17.04666666666667,17.661290322580644,14.729032258064516,12.933333333333335,10.900000000000002,9.03,8.068
1970,6.903225806451612,7.307142857142857,7.874193548387097,8.703333333333335,11.074193548387099,15.376666666666669,16.07741935483871,16.451612903225808,13.216666666666667,10.8258064516129,8.643333333333333,7.470967741935484
1971,6.209677419354837,6.249999999999999,6.287096774193549,8.016666666666667,11.341935483870964,12.789999999999997,16.82903225806452,16.406451612903226,13.253333333333334,10.693548387096774,8.553333333333336,6.912903225806452
1972,6.074193548387097,6.324137931034482,7.000000000000002,7.663333333333333,11.206451612903225,14.396666666666668,15.554838709677423,18.4741935483871,13.493333333333336,10.332258064516127,8.396666666666668,7.180645161290323
1973,6.296774193548386,6.307142857142857,7.316129032258065,8.726666666666667,11.235483870967743,13.01666666666667,16.074193548387097,17.029032258064515,13.666666666666666,10.632258064516126,8.26666666666667,7.38709677419355
1974,6.422580645161289,6.653571428571429,6.987096774193547,8.333333333333334,10.16451612903226,13.303333333333335,15.464516129032255,16.683870967741935,15.246666666666668,11.180645161290322,8.773333333333333,8.041935483870967
1975,6.725806451612905,6.325000000000001,7.138709677419356,8.423333333333334,10.600000000000001,14.4,18.06129032258065,15.093548387096776,15.003333333333334,10.632258064516131,8.766666666666667,7.090322580645162
1976,7.135483870967741,7.0068965517241395,6.919354838709678,8.603333333333333,10.587096774193549,12.876666666666667,15.187096774193549,15.412903225806454,14.236666666666666,11.545161290322582,9.363333333333335,8.196774193548388
1977,7.148387096774194,7.978571428571428,7.729032258064514,9.096666666666666,11.222580645161292,14.533333333333335,16.116129032258062,18.106451612903225,14.123333333333333,11.203225806451611,8.47,7.36774193548387
1978,6.396774193548387,6.992857142857141,7.929032258064516,9.29,11.919354838709676,15.756666666666666,19.141935483870967,17.190322580645162,13.213333333333336,11.812903225806455,9.01,8.145161290322582
1979,6.932258064516129,7.174999999999999,7.993548387096774,9.590000000000002,12.09354838709677,15.283333333333333,16.309677419354838,17.0,13.93,11.587096774193547,9.343333333333332,8.358064516129033
1980,6.722580645161292,6.800000000000001,7.461290322580645,8.669999999999998,11.361290322580645,13.996666666666668,16.416129032258066,16.39032258064516,13.023333333333335,11.141935483870968,9.156666666666666,7.596774193548387
1981,7.4064516129032265,7.375000000000001,8.12258064516129,8.976666666666668,11.096774193548388,12.78,16.94516129032258,17.17096774193548,14.180000000000001,12.0,10.52,8.83225806451613
1982,7.7129032258064525,8.053571428571427,8.393548387096773,9.613333333333335,12.829032258064515,17.77,17.748387096774195,17.451612903225808,15.609999999999998,12.222580645161292,9.603333333333333,8.729032258064516
