Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1914,7.2,,,,,,,,12.594736842105263,11.125806451612904,9.053333333333335,7.167741935483869
1915,7.041935483870968,7.482142857142856,8.651612903225805,10.510000000000003,12.45806451612903,15.063333333333333,17.203225806451613,17.93548387096774,15.419999999999998,10.977419354838709,7.640000000000001,6.122580645161291
1916,4.374193548387097,4.868965517241379,5.564516129032258,7.540000000000001,11.051612903225807,13.823333333333334,15.19032258064516,17.335483870967742,14.42,10.00967741935484,6.9766666666666675,5.470967741935484
1917,5.267741935483872,4.946428571428571,5.470967741935485,6.976666666666666,10.680645161290323,13.689999999999998,16.354838709677416,16.77741935483871,13.080000000000004,10.83548387096774,8.443333333333333,6.474193548387096
1918,5.699999999999999,5.092857142857143,5.741935483870969,7.980000000000001,11.62258064516129,14.299999999999999,16.116129032258065,16.506451612903227,16.543333333333333,11.24193548387097,8.44,7.0451612903225795
1919,6.635483870967742,6.007142857142858,6.809677419354838,8.806666666666667,11.445161290322583,14.116666666666669,17.551612903225802,17.53870967741936,15.33,11.14516129032258,8.403333333333332,6.2129032258064525
1920,6.448387096774193,6.255172413793104,7.338709677419355,9.073333333333332,11.583870967741934,14.74,18.0741935483871,17.738709677419354,13.736666666666668,10.561290322580644,8.67,7.287096774193549
1921,6.199999999999999,6.278571428571429,7.4387096774193555,9.073333333333334,12.503225806451614,14.803333333333335,17.587096774193547,16.948387096774194,12.756666666666666,10.451612903225804,7.803333333333332,5.812903225806452
1922,6.109677419354839,5.42857142857143,6.767741935483872,8.266666666666667,11.103225806451615,15.596666666666668,16.438709677419357,15.406451612903224,13.659999999999998,10.36774193548387,7.733333333333333,6.029032258064516
1923,4.312903225806451,4.617857142857142,5.909677419354839,9.073333333333332,11.541935483870969,15.682758620689658,18.370967741935484,18.251612903225805,15.333333333333334,11.651612903225805,8.943333333333333,6.587096774193548
1924,5.958064516129034,6.7137931034482765,7.880645161290323,9.176666666666668,11.0,14.966666666666667,16.523529411764706,16.563636363636363,15.35,10.227272727272727,7.071428571428571,6.325
1925,4.846153846153846,5.5809523809523816,6.938461538461538,9.683333333333334,12.05,17.833333333333332,17.636363636363637,17.25714285714286,14.175,11.25,8.0,7.75
1926,7.690322580645161,8.589285714285715,9.507692307692308,11.629411764705884,12.221739130434784,15.856000000000002,17.652941176470588,16.45,14.186363636363637,10.850000000000001,9.483333333333334,6.973333333333334
1927,5.886363636363638,6.244999999999999,7.141176470588236,8.647058823529411,11.16842105263158,15.513333333333334,16.2,17.340740740740742,13.847999999999999,11.030769230769229,7.731818181818181,6.28
1928,5.633333333333334,6.025000000000001,7.811111111111111,9.15,12.3,15.496000000000004,17.772727272727277,17.276470588235295,14.993333333333334,11.061290322580646,9.276666666666667,7.725806451612903
1929,6.587096774193549,6.7749999999999995,7.890322580645161,9.33,,14.620000000000003,16.612903225806452,16.887096774193548,15.420000000000005,11.725806451612904,9.110000000000001,7.97741935483871
1930,5.567741935483871,6.246428571428572,7.164516129032258,9.966666666666667,11.903225806451617,14.020000000000003,16.9741935483871,17.883870967741935,15.016666666666667,10.364516129032259,8.309999999999999,7.383870967741935
1931,7.21923076923077,6.8478260869565215,7.995,10.9,14.374999999999998,16.049999999999997,18.922222222222228,18.46363636363636,14.676923076923076,10.847999999999999,8.19375,6.647058823529412
