Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1970,,,8.068181818181818,8.11,9.635483870967741,11.53,11.764516129032257,12.412903225806451,10.376666666666667,9.02258064516129,8.053333333333335,6.864516129032256
1971,6.516129032258062,6.3428571428571425,6.267741935483873,7.183333333333334,8.67741935483871,10.283333333333331,13.103225806451615,12.709677419354838,11.666666666666666,9.545161290322582,7.813333333333333,6.361290322580646
1972,5.396774193548388,5.479310344827588,6.522580645161291,7.116666666666666,9.348387096774191,11.003333333333332,12.48064516129032,13.293548387096775,10.606666666666671,8.658064516129034,7.683333333333334,6.590322580645162
1973,6.212903225806452,6.278571428571429,6.8903225806451625,7.9433333333333325,9.58064516129032,11.186666666666666,12.864516129032259,13.119354838709677,11.146666666666667,9.212903225806452,7.016666666666667,7.051612903225806
1974,6.280645161290322,6.5,6.85483870967742,8.3,9.567741935483872,11.009999999999998,12.306451612903226,13.432258064516128,11.96,10.029032258064516,8.78,7.596774193548387
1975,6.603225806451612,5.764285714285714,6.474193548387095,7.47,9.983870967741936,11.55666666666667,13.045161290322579,11.996774193548386,11.046666666666663,9.383870967741936,8.013333333333334,6.858064516129031
1976,6.838709677419354,6.36206896551724,6.480645161290322,7.953333333333334,9.233333333333334,12.546666666666665,12.416129032258064,12.506451612903227,11.656666666666666,10.045161290322582,8.546666666666665,7.532258064516129
1977,6.880645161290322,7.846428571428572,7.293548387096773,8.620000000000001,10.203225806451613,11.639999999999999,13.345161290322583,13.803225806451616,10.979999999999999,9.861290322580647,8.326666666666666,7.219354838709678
1978,7.170967741935483,7.424999999999999,7.6483870967741945,8.813333333333334,10.01935483870968,12.053333333333331,13.332258064516127,13.264516129032259,11.630000000000003,11.28709677419355,8.463333333333333,6.825806451612902
1979,5.961290322580643,5.79642857142857,7.035483870967743,8.393333333333333,10.587096774193546,12.569999999999999,12.654838709677419,13.119354838709677,13.126666666666667,10.306451612903228,9.4,8.816129032258065
1980,7.5451612903225795,7.610344827586209,7.780645161290324,8.376666666666667,10.022580645161288,12.636666666666668,13.687096774193549,12.393548387096772,10.826666666666666,10.283870967741935,10.20333333333333,8.370967741935484
1981,8.522580645161291,8.150000000000002,8.538709677419357,8.750000000000002,10.554838709677421,11.830000000000002,12.990322580645161,13.316129032258063,11.743333333333336,11.093548387096778,9.55,8.635483870967743
1982,7.283870967741935,7.075,7.2,8.133333333333333,9.367741935483869,12.463333333333335,12.790322580645162,12.348387096774195,10.693333333333333,9.48709677419355,8.76,8.300000000000002
1983,8.248387096774195,8.271428571428574,8.90967741935484,9.803333333333335,11.393548387096773,12.449999999999998,13.070967741935483,13.641935483870967,11.806666666666665,10.132258064516131,9.356666666666666,8.270967741935484
1984,7.877419354838709,7.855172413793104,8.270967741935484,8.566666666666666,9.983870967741936,11.866666666666667,13.238709677419356,13.280645161290321,11.270000000000003,9.777419354838706,8.376666666666667,7.254838709677419
1985,7.241935483870967,6.9607142857142845,6.97741935483871,7.826666666666668,9.490322580645161,11.686666666666666,13.732258064516127,11.419354838709676,10.35,9.125806451612904,7.126666666666667,6.806451612903228
1986,6.929032258064516,6.457142857142858,7.5354838709677425,8.396666666666665,9.312903225806451,11.433333333333334,12.006451612903229,13.08064516129032,11.296666666666669,9.890322580645162,9.450000000000001,8.087096774193547
1987,7.890322580645161,7.799999999999999,8.441935483870967,9.076666666666666,10.07741935483871,11.603333333333333,12.974193548387097,13.1,11.166666666666666,10.941935483870967,9.676666666666668,8.667741935483871
1988,7.820833333333333,7.885000000000001,7.914814814814816,8.589285714285714,10.120000000000001,11.53448275862069,12.843333333333332,12.33548387096774,11.01851851851852,10.089999999999998,9.333333333333332,8.471428571428572
1989,7.450000000000002,6.466666666666666,6.975862068965518,8.555172413793104,10.559999999999999,11.207142857142857,12.43,12.48,11.080000000000002,9.71,9.018518518518517,8.484615384615385
1990,7.723076923076923,6.904545454545455,7.636666666666666,8.863333333333335,9.906896551724136,11.263333333333334,12.648387096774194,13.032258064516132,11.424137931034483,9.475,8.644444444444444,7.446153846153845
1991,6.957142857142856,7.132000000000001,7.02258064516129,8.21111111111111,9.793333333333333,11.25,11.951612903225808,12.179310344827588,11.406896551724136,9.63,8.63448275862069,8.020833333333334
1992,7.750000000000001,7.921428571428573,8.726666666666665,9.124137931034484,10.8,12.153571428571428,12.69,12.113333333333335,10.926666666666668,9.893103448275864,9.265384615384615,8.134482758620688
1993,6.960714285714286,7.507407407407407,7.851612903225806,8.42666666666667,10.603225806451613,12.086666666666666,12.453333333333331,12.561290322580646,11.196666666666667,9.738709677419356,8.86896551724138,7.914285714285714
1994,8.061290322580644,8.1,8.035483870967743,9.013333333333332,10.175862068965516,11.45,12.626666666666667,12.735483870967741,11.323333333333334,9.76551724137931,8.361538461538464,7.562068965517242
1995,7.589285714285714,7.550000000000001,8.0,8.848275862068967,10.306451612903224,11.810344827586206,12.625806451612902,11.993548387096775,11.333333333333334,11.093103448275862,9.357142857142858,8.458064516129033
1996,7.920000000000001,7.7407407407407405,8.231034482758618,8.985185185185186,10.266666666666667,11.816666666666666,12.445161290322579,12.89032258064516,11.226666666666667,,8.882758620689653,7.406666666666666
1997,7.775862068965517,7.88846153846154,7.635714285714286,8.727586206896552,10.580645161290322,12.83,13.35483870967742,12.774193548387096,13.673333333333334,12.575000000000001,10.286206896551727,9.51304347826087
1998,8.503448275862068,8.936000000000002,9.26774193548387,9.948275862068966,11.090322580645163,12.19,13.06451612903226,13.516129032258064,11.658620689655173,10.403333333333334,10.020000000000001,8.984615384615385
1999,8.534615384615384,7.747619047619047,7.842857142857143,8.660714285714286,10.283333333333333,10.899999999999999,11.680769230769227,11.739999999999998,10.931034482758621,9.37741935483871,8.376666666666667,8.575
2000,7.074999999999999,7.1275862068965505,7.46875,8.286363636363637,9.26551724137931,10.833333333333334,12.431034482758621,12.126666666666663,10.379999999999999,9.3,8.636666666666667,8.029032258064515
2001,7.438709677419355,7.115384615384614,6.996666666666667,7.8392857142857135,8.33548387096774,10.773333333333335,11.464516129032258,10.858064516129032,10.658620689655171,9.055172413793102,8.3,7.372413793103449
2002,7.484615384615385,7.384615384615385,7.177777777777778,8.314285714285715,10.184615384615386,11.499999999999998,12.69230769230769,13.120833333333332,10.857692307692306,9.776,9.12857142857143,8.41904761904762
2003,8.207692307692309,8.148000000000001,8.554545454545455,9.187500000000002,10.628,11.818518518518518,13.455999999999996,13.224137931034482,11.893103448275859,10.62758620689655,8.867857142857142,7.448275862068965
2004,8.0,7.5,7.7727272727272725,9.222222222222221,11.161290322580646,12.696428571428571,13.66,,,10.374193548387096,,8.507142857142858
2005,7.730000000000001,7.592592592592593,8.616666666666667,9.059999999999999,11.529032258064515,13.003333333333334,13.290322580645162,14.119354838709679,12.166666666666668,10.035483870967743,9.266666666666667,8.258064516129032
2006,7.966666666666667,7.151851851851852,7.282142857142857,8.213333333333335,9.851612903225808,11.893333333333334,13.390322580645162,13.03225806451613,10.98333333333333,9.164516129032256,7.575,7.592307692307691
2007,6.855555555555555,7.01923076923077,6.9766666666666675,7.5,,13.95,13.574193548387097,14.261290322580644,11.276666666666664,9.038709677419355,8.426666666666668,7.270370370370371
2008,6.673333333333333,6.455555555555556,6.699999999999999,7.251724137931036,9.529032258064515,10.946428571428571,12.123333333333333,11.682758620689652,10.992,9.103333333333333,8.399999999999999,7.721428571428571
2009,6.369230769230769,6.242105263157894,6.233333333333333,7.63,9.100000000000001,12.54375,13.139130434782606,12.910000000000002,,10.62857142857143,8.431999999999999,7.354166666666668
2010,7.775,7.895454545454546,8.37,8.829629629629629,10.08,11.763333333333332,12.44814814814815,12.882352941176471,10.492307692307692,10.855555555555558,8.789473684210526,7.5440000000000005
2011,6.884615384615385,6.675000000000001,6.795999999999999,7.714999999999999,9.82,12.01666666666667,12.717857142857143,12.583333333333334,11.044444444444444,9.78709677419355,8.776923076923078,7.089999999999999
2012,6.7125,6.458333333333332,6.347368421052631,7.621428571428571,9.35,11.220000000000002,12.936666666666667,13.307692307692308,9.25,9.103225806451613,8.555555555555555,7.88846153846154
2013,7.229166666666665,7.183333333333333,7.533333333333333,8.677272727272726,10.695454545454545,12.131034482758624,13.703225806451613,13.225806451612902,12.286666666666665,,8.447368421052634,7.56153846153846
2014,7.55,6.74814814814815,7.555555555555556,9.585185185185184,11.429032258064515,11.760714285714286,13.974193548387095,14.064516129032258,12.22,12.46551724137931,9.900000000000002,8.82380952380952
2015,8.394444444444444,8.921739130434784,9.22,9.62857142857143,11.613793103448277,13.656666666666666,14.26896551724138,14.221428571428572,12.05925925925926,11.14285714285714,9.808333333333334,8.411764705882353
2016,7.771428571428571,8.504545454545454,8.831999999999999,10.015384615384615,11.960714285714287,13.007142857142856,14.225806451612904,13.04193548387097,11.020689655172413,10.332142857142859,10.071999999999997,8.004999999999999
2017,7.192307692307693,6.9789473684210535,7.508695652173913,9.329166666666666,11.217857142857142,12.224137931034482,13.999999999999998,13.977419354838709,11.87142857142857,9.918518518518521,8.370833333333332,7.904545454545455
2018,7.666666666666667,7.1,7.6080000000000005,8.708333333333334,11.563636363636364,12.710344827586205,14.793548387096777,14.056666666666665,11.941379310344827,10.015384615384615,9.344999999999999,8.558823529411763
2019,8.059090909090909,7.199999999999999,7.826086956521739,8.903703703703703,11.053846153846155,12.909999999999998,14.648387096774197,13.519999999999998,12.044444444444446,10.11851851851852,9.295652173913043,8.107142857142858
2020,7.506666666666665,7.184999999999998,7.245833333333333,8.583333333333334,10.634615384615385,12.38846153846154,13.693548387096774,13.79032258064516,12.859259259259257,11.015384615384612,8.7,7.94
2021,7.315384615384616,6.95,7.147368421052632,9.277272727272726,9.923076923076923,12.119047619047619,13.530000000000001,12.906896551724138,10.81153846153846,10.063636363636363,9.06,7.70909090909091
2022,7.233333333333333,6.994444444444444,7.352380952380953,8.05,9.411538461538461,11.855999999999996,14.237037037037041,13.808333333333332,11.673076923076925,10.11578947368421,7.958333333333333,6.85
2023,7.090000000000001,7.2,6.7555555555555555,7.4375,10.841666666666667,12.232000000000001,14.15,13.615384615384617,10.996296296296295,10.984000000000002,10.031250000000002,8.924999999999999
