Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1936,,,,,14.094444444444445,15.699999999999996,18.52258064516129,19.099999999999998,15.059999999999999,12.564516129032258,9.656666666666665,8.69032258064516
1937,6.83225806451613,6.299999999999999,7.34516129032258,8.596666666666666,10.841935483870966,13.063333333333334,17.06129032258065,16.203225806451613,15.469999999999995,11.412903225806453,8.82666666666667,8.235483870967744
1938,7.470967741935484,7.142857142857141,7.161290322580646,8.73,12.122580645161287,15.903333333333332,17.083870967741937,16.76451612903226,16.030000000000005,12.08387096774194,9.083333333333334,7.35806451612903
1939,6.974193548387095,6.360714285714285,6.574193548387093,7.736666666666669,12.10967741935484,13.143333333333333,15.3,15.422580645161288,14.183333333333332,10.87096774193548,9.01,7.935483870967742
1940,7.080645161290323,7.1241379310344835,7.974193548387097,10.379999999999999,12.880645161290323,15.206666666666667,16.580645161290324,16.64193548387097,15.906666666666668,13.325806451612904,7.7266666666666675,7.670967741935483
1941,6.603225806451612,6.867857142857142,6.512903225806451,10.153333333333334,11.87741935483871,14.636666666666668,17.783870967741937,17.419354838709676,13.816666666666668,11.577419354838707,10.116666666666667,9.367741935483872
1942,7.796774193548386,7.628571428571428,8.067741935483872,9.456666666666667,12.177419354838712,15.000000000000002,18.864516129032257,18.97741935483871,15.216666666666667,11.606451612903225,9.430000000000001,8.361290322580645
1943,7.0354838709677425,7.189285714285714,7.49032258064516,8.813333333333334,11.94193548387097,14.50666666666667,17.103225806451615,17.887096774193548,15.23,11.945161290322577,9.796666666666665,8.56774193548387
1944,7.467741935483873,7.26551724137931,7.516129032258065,9.006666666666664,11.83548387096774,14.3,16.68064516129032,16.561290322580643,15.52,12.077419354838707,9.676666666666668,7.96774193548387
1945,7.638709677419354,7.699999999999998,8.041935483870967,8.706666666666667,12.393548387096775,15.176666666666668,16.983870967741936,17.112903225806452,13.809999999999999,11.858064516129032,8.726666666666665,7.380645161290323
1946,7.387096774193547,7.09642857142857,7.483870967741934,8.42,12.719354838709679,15.136666666666667,15.87741935483871,16.796774193548387,14.66,10.954838709677418,8.49,7.261290322580645
1947,6.929032258064517,6.792857142857144,7.783870967741937,9.29,12.100000000000001,14.913333333333334,16.261290322580646,16.97741935483871,14.886666666666667,10.654838709677419,8.816666666666666,8.193548387096774
1948,6.8838709677419345,6.893103448275863,7.219354838709677,8.293333333333333,10.709677419354838,16.206666666666667,16.500000000000004,15.55483870967742,13.629999999999999,10.977419354838709,8.706666666666667,6.936666666666666
1949,6.012903225806451,6.328571428571429,7.0,8.516666666666667,12.21290322580645,14.723333333333333,16.674193548387095,15.73225806451613,15.043333333333331,10.72258064516129,9.376666666666667,7.2
1950,4.887096774193548,6.260714285714285,6.480645161290321,7.786666666666667,10.609677419354837,14.5,17.74838709677419,16.887096774193548,14.323333333333332,10.045161290322579,8.100000000000001,7.23225806451613
1951,6.516129032258062,5.700000000000001,5.832258064516131,9.116666666666667,12.374193548387098,14.51333333333333,17.612903225806456,17.509677419354837,14.453333333333337,10.51612903225806,8.616666666666667,7.283870967741934
1952,7.029032258064516,6.224137931034484,6.864516129032259,8.41,11.380645161290323,13.456666666666667,16.883870967741935,16.35483870967742,13.77,12.54193548387097,8.95,8.206451612903225
1953,7.341935483870968,6.903571428571428,7.458064516129034,9.116666666666667,12.193548387096776,14.356666666666664,17.13548387096774,16.412903225806453,15.093333333333334,10.94516129032258,9.343333333333334,7.8096774193548395
1954,6.76,6.8928571428571415,7.04516129032258,8.38,12.309677419354838,13.203333333333335,15.970967741935484,16.82903225806452,14.250000000000002,10.990322580645165,9.51,7.912903225806451
1955,6.806451612903226,6.7107142857142845,6.659999999999999,8.546666666666665,10.629032258064518,13.013333333333332,16.177419354838708,17.016129032258064,13.773333333333337,10.480645161290319,7.683333333333333,6.17741935483871
1956,6.306451612903226,5.6689655172413795,6.287096774193548,9.226666666666667,13.103225806451613,12.863333333333333,16.82903225806452,17.45806451612903,13.870000000000003,10.2,7.956666666666666,7.248387096774192
1957,5.938709677419354,6.4642857142857135,7.022580645161292,8.950000000000001,13.083870967741934,15.75666666666667,15.75806451612903,16.793548387096774,15.569999999999999,11.70967741935484,9.283333333333333,8.238709677419354
1958,7.51290322580645,7.510714285714286,8.025806451612903,9.743333333333332,14.170967741935483,17.589999999999996,19.43870967741935,18.64193548387097,13.94333333333333,11.77741935483871,8.97,8.106451612903227
1959,7.138709677419354,6.617857142857142,7.7129032258064525,9.286666666666664,12.52258064516129,14.826666666666664,17.096774193548388,16.60645161290323,13.920000000000003,11.164516129032258,9.216666666666665,7.809677419354839
1960,6.787096774193548,6.899999999999999,7.390322580645161,9.136666666666665,11.412903225806454,14.429999999999998,17.277419354838713,15.735483870967741,14.020000000000001,11.035483870967743,9.06,7.538709677419354
1961,7.493548387096776,7.578571428571429,7.764516129032257,8.96,12.329032258064517,15.973333333333334,17.835483870967742,18.193548387096772,14.41,10.751612903225805,8.673333333333334,7.283870967741935
1962,6.383870967741935,6.771428571428571,7.151612903225806,9.020000000000001,11.709677419354838,14.823333333333332,17.1,15.509677419354837,15.089999999999998,10.890322580645162,9.553333333333333,7.816129032258065
1963,6.216129032258065,7.478571428571429,8.148387096774194,9.366666666666667,13.22258064516129,15.54,16.60967741935484,17.887096774193544,16.30333333333333,12.525806451612901,9.29,8.093548387096773
1964,7.690322580645161,6.996551724137931,7.751612903225807,8.736666666666668,11.806451612903228,14.363333333333333,15.387096774193548,16.112903225806452,14.250000000000002,11.238709677419356,8.673333333333334,7.358064516129032
1965,6.2774193548387105,6.117857142857142,6.983870967741934,8.703333333333331,11.261290322580647,15.173333333333336,18.070967741935483,17.416129032258066,14.603333333333335,10.625806451612904,9.276666666666667,7.893548387096775
1966,6.864516129032258,6.692857142857142,7.47741935483871,9.233333333333333,11.983870967741938,13.49,16.2,17.429032258064513,14.543333333333335,11.325806451612904,9.240000000000002,8.054838709677417
1967,7.248387096774195,6.857142857142856,7.293548387096774,8.563333333333333,12.164516129032258,16.60333333333333,17.2,19.980645161290326,15.033333333333335,10.725806451612906,9.290000000000001,7.551612903225806
1968,7.306451612903226,6.6482758620689655,7.8999999999999995,8.830000000000002,12.32258064516129,14.350000000000003,17.861290322580647,16.29032258064516,13.983333333333333,10.616129032258064,9.006666666666666,7.296774193548386
1969,5.209677419354837,5.632142857142858,6.748387096774194,8.239999999999998,12.383870967741938,16.13,17.993548387096773,15.964516129032257,13.35,11.377419354838713,9.063333333333333,8.06451612903226
1970,6.932258064516129,7.457142857142857,8.093548387096774,9.023333333333333,12.100000000000003,16.296666666666663,16.05806451612903,16.89354838709677,13.486666666666668,10.954838709677418,8.836666666666668,7.6096774193548375
1971,6.370967741935484,6.514285714285714,6.735483870967742,8.303333333333335,11.519354838709674,13.056666666666665,16.983870967741932,17.070967741935487,13.65,10.8,8.416666666666664,6.903225806451612
1972,6.144827586206895,6.079310344827586,7.025806451612903,7.4833333333333325,12.151612903225804,14.730000000000002,15.067741935483872,18.583870967741937,13.589999999999998,10.445161290322579,8.343333333333332,7.135483870967742
1973,6.329032258064514,5.875,7.377419354838711,9.370000000000001,11.696774193548388,13.593333333333334,15.822580645161288,17.032258064516128,14.413333333333334,10.92258064516129,8.17,7.332258064516128
1974,6.3258064516129044,6.735714285714286,6.854838709677418,8.67,11.125806451612902,13.616666666666667,15.451612903225808,16.232258064516127,15.463333333333331,11.612903225806452,8.780000000000001,7.903225806451613
1975,6.558064516129034,6.196428571428571,6.880645161290323,7.970000000000001,10.874193548387098,13.73666666666667,17.074193548387097,15.019354838709674,14.803333333333333,10.419354838709676,8.356666666666666,6.874193548387097
1976,6.535483870967741,6.713793103448276,6.538709677419355,8.673333333333334,11.067741935483868,13.163333333333334,15.82258064516129,15.28709677419355,14.966666666666667,11.748387096774191,9.080000000000002,7.961290322580645
1977,6.77741935483871,7.421428571428572,7.767741935483871,9.266666666666667,11.629032258064516,14.703333333333331,16.467741935483872,16.958064516129035,14.116666666666665,11.180645161290322,8.723333333333333,6.667741935483872
1978,6.325806451612903,7.007142857142857,7.935483870967741,9.293333333333333,11.690322580645162,15.190000000000001,18.474193548387095,17.2741935483871,13.453333333333335,12.30967741935484,8.749999999999998,7.9387096774193555
1979,7.180645161290323,7.342857142857142,7.832258064516129,8.800000000000002,12.016129032258066,14.76666666666667,16.451612903225804,17.62258064516129,14.48,12.01290322580645,9.293333333333333,8.248387096774191
1980,6.651612903225805,6.544827586206897,7.625806451612903,9.463333333333333,12.151612903225807,14.593333333333334,16.774193548387093,16.570967741935483,13.603333333333333,12.029032258064516,9.476666666666665,8.003225806451614
1981,7.5129032258064505,7.4750000000000005,8.338709677419352,9.21,12.241935483870968,13.020000000000003,17.53548387096774,17.529032258064515,14.236666666666668,11.125806451612902,9.676666666666668,8.245161290322581
1982,6.870967741935484,7.1035714285714295,7.400000000000001,8.596666666666668,11.693548387096778,16.413333333333334,16.206451612903226,15.987096774193548,15.18,11.235483870967746,8.853333333333333,8.096774193548388
1983,7.712903225806452,7.671428571428571,8.374193548387098,10.07,13.206451612903225,15.63,15.993548387096777,17.003225806451614,14.330000000000002,11.57741935483871,9.716666666666667,7.748387096774194
1984,7.464516129032258,7.924137931034482,8.525806451612903,9.550000000000002,11.322580645161288,14.596666666666668,17.032258064516128,17.648387096774194,14.523333333333333,10.796774193548387,8.966666666666667,7.193548387096774
1985,6.76774193548387,7.735714285714287,7.9322580645161285,8.916666666666666,11.80967741935484,14.646666666666667,18.190322580645166,16.661290322580648,14.543333333333333,11.129032258064516,7.94,6.909677419354839
1986,7.935483870967743,7.132142857142858,8.06774193548387,9.203333333333331,11.119354838709675,14.663333333333332,16.793548387096774,18.599999999999998,15.856666666666666,12.47741935483871,9.473333333333333,8.022580645161291
1987,7.483870967741933,7.692857142857143,8.35483870967742,9.873333333333335,12.377419354838711,15.436666666666667,16.612903225806452,18.096774193548384,16.033333333333335,13.138709677419353,9.93,7.974193548387097
1988,7.14516129032258,7.455555555555556,8.280645161290325,9.826666666666666,12.025806451612906,15.363333333333335,17.95483870967742,17.433333333333334,15.363333333333333,12.143333333333336,9.332142857142857,8.0
1989,7.08709677419355,5.507142857142858,7.451612903225806,10.233333333333336,14.348387096774195,15.886666666666665,17.093548387096778,18.170967741935485,16.549999999999997,11.683870967741939,9.209999999999999,8.132258064516128
1990,7.314285714285716,6.582142857142856,8.02,10.610000000000001,13.429032258064515,15.056666666666665,18.73,19.254838709677415,17.016666666666666,11.467857142857143,9.075862068965517,6.25
1991,5.956666666666666,7.374999999999999,7.690322580645161,10.244827586206895,12.76774193548387,14.616666666666667,17.158064516129034,18.225806451612904,16.000000000000004,12.506451612903227,9.413793103448278,8.316129032258065
1992,7.838709677419355,8.0,9.441935483870969,10.553333333333335,14.193548387096772,17.013333333333335,18.58387096774194,17.416129032258063,14.443333333333332,11.82258064516129,9.623333333333333,8.006451612903227
1993,6.616129032258065,7.239285714285716,8.296774193548385,9.540000000000001,12.983870967741936,17.18,16.954838709677418,18.167741935483868,17.040000000000003,12.890322580645163,9.363333333333333,8.200000000000001
1994,8.080645161290322,7.549999999999999,8.46774193548387,10.430000000000001,14.051612903225807,15.576666666666666,18.432258064516123,19.200000000000003,16.093333333333334,12.329032258064517,8.889999999999999,7.893548387096775
1995,7.235483870967742,7.539285714285714,8.33548387096774,10.273333333333333,14.25483870967742,16.52,17.93870967741936,17.12258064516129,16.926666666666666,11.590322580645159,9.76666666666667,8.016129032258064
1996,6.816129032258064,6.948275862068967,8.23225806451613,9.65,12.193548387096774,15.69,17.583870967741937,18.316129032258065,14.793333333333333,11.48709677419355,8.746666666666666,7.04516129032258
1997,6.483870967741934,6.8571428571428585,7.590322580645161,9.67,13.312903225806451,15.453333333333331,18.3,18.764516129032256,15.433333333333334,11.448387096774193,9.823333333333334,8.567741935483872
1998,7.280645161290325,7.825000000000001,8.412903225806453,10.113333333333333,13.63225806451613,16.003333333333334,18.39666666666666,20.070967741935483,17.12,11.92258064516129,9.953333333333331,7.783870967741936
1999,7.493548387096773,7.578571428571428,7.667741935483872,9.5,12.13548387096774,14.716666666666669,17.416129032258066,18.46774193548387,15.75,11.603225806451613,9.620000000000001,7.751612903225805
2000,7.025806451612903,7.437931034482758,8.064516129032258,10.376666666666669,11.64516129032258,14.693333333333332,17.806451612903224,17.74516129032258,15.476666666666667,12.209677419354838,9.323333333333332,7.6161290322580655
2001,7.548387096774196,7.299999999999999,8.141935483870968,9.316666666666666,12.225806451612906,15.453333333333331,18.487096774193553,15.98709677419355,15.09,12.019354838709676,9.576666666666666,7.641935483870967
2002,7.164516129032258,7.30357142857143,7.545161290322581,9.293333333333333,12.429032258064517,15.88,18.896774193548385,18.38387096774193,15.796666666666665,12.325806451612905,9.893333333333334,8.558064516129033
2003,8.151612903225807,7.771428571428572,8.361290322580645,9.23,,16.203333333333333,18.338709677419356,19.109677419354842,16.296666666666667,11.974193548387095,9.143333333333334,8.158064516129034
2004,7.251612903225806,7.589655172413793,8.66451612903226,11.966666666666667,14.516129032258066,17.24,18.91612903225806,18.712903225806453,15.909999999999998,12.754838709677419,9.82,8.258064516129032
2005,6.887096774193548,7.782142857142857,8.87741935483871,10.673333333333334,12.841935483870966,16.589999999999996,17.55806451612903,19.10322580645161,16.026666666666664,11.39032258064516,9.136666666666665,8.351612903225808
2006,8.5,7.414285714285714,7.99032258064516,9.476666666666667,12.625806451612902,17.1,18.43548387096774,18.69677419354839,16.049999999999997,12.548387096774192,8.79,7.812903225806451
2007,6.6161290322580655,7.507142857142857,7.916129032258064,9.753333333333334,12.980645161290322,16.12,17.780645161290323,18.545161290322575,16.20333333333333,10.654838709677419,9.210344827586209,7.486666666666667
2008,6.943333333333333,6.841379310344828,8.05483870967742,9.343333333333334,9.920000000000002,17.09333333333333,17.938709677419357,16.690322580645166,15.58666666666667,11.651612903225805,10.016666666666667,7.554838709677421
2009,6.777419354838709,7.017857142857143,7.4387096774193555,9.629999999999999,13.116129032258065,16.636666666666667,18.880645161290325,17.9741935483871,15.79,11.674193548387098,9.319999999999999,6.912903225806452
2010,8.103225806451613,8.02142857142857,8.43225806451613,9.623333333333333,12.112903225806452,14.563333333333333,18.312903225806448,18.700000000000003,14.592857142857142,11.975,9.75357142857143,8.26
2011,7.025,6.634782608695652,7.31923076923077,8.296666666666667,14.094444444444445,14.485185185185186,16.674193548387095,18.143333333333327,14.979310344827583,11.350000000000001,8.52,7.164516129032259
2012,6.732142857142857,6.606896551724139,7.02962962962963,9.088888888888889,12.26,13.669999999999998,17.907692307692308,18.290000000000003,15.530000000000001,10.809677419354841,8.926666666666666,7.748148148148147
2013,6.532258064516128,7.435714285714286,8.04516129032258,10.033333333333335,12.09032258064516,16.062962962962963,18.716129032258067,17.990000000000002,15.596551724137928,11.783870967741935,9.703333333333335,8.416129032258064
2014,7.3516129032258055,7.2,7.409677419354839,9.18,13.022580645161291,16.096666666666664,18.151724137931037,19.438709677419357,15.748275862068965,12.996551724137932,10.6,8.9125
2015,8.870370370370372,8.92,9.103703703703705,11.069999999999999,15.075,17.56551724137931,17.170967741935485,17.787096774193547,14.359999999999996,12.95,9.931034482758621,9.135714285714286
2016,7.739999999999999,8.107692307692307,9.228571428571428,11.382758620689659,14.399999999999999,16.457692307692305,17.946153846153848,18.196666666666673,14.732142857142852,11.511111111111111,10.669565217391305,7.788235294117648
2017,7.506896551724139,7.070833333333333,8.0,9.176666666666668,12.179166666666667,15.149999999999999,17.703703703703706,18.28076923076923,,11.880769230769232,9.4,7.574193548387097
2018,7.5588235294117645,7.125,7.84074074074074,9.408,,,,,,11.689655172413794,10.010714285714286,8.445454545454545
2019,,,7.8500000000000005,9.62222222222222,13.133333333333333,16.02142857142857,15.93846153846154,18.396428571428572,14.399999999999997,11.9375,9.721428571428572,8.468000000000002
2020,,,,,,,,,,12.124137931034484,9.276,7.988461538461538
2021,7.563636363636363,,7.0,9.627586206896554,12.677419354838706,,19.099999999999998,18.733333333333334,14.932142857142855,11.116666666666667,9.457692307692309,7.9079999999999995
2022,6.8374999999999995,7.175000000000002,7.925,9.025000000000002,10.81,14.157142857142858,18.140740740740743,19.0,15.592307692307696,13.89642857142857,8.81304347826087,7.677272727272726
2023,7.195238095238096,7.194117647058824,7.422222222222223,8.89090909090909,14.239999999999995,15.883333333333335,17.416666666666668,17.328000000000003,15.266666666666666,11.055555555555554,9.7,8.939285714285713
