Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1935,7.0633333333333335,7.732142857142856,7.596774193548387,8.568965517241379,9.774193548387096,11.6,12.290322580645162,12.367741935483872,12.556666666666667,10.977419354838709,8.24,8.222580645161292
1936,7.648387096774193,6.610344827586207,7.009677419354839,8.183333333333334,10.27096774193548,12.956666666666662,15.43,13.81935483870968,12.253333333333336,11.603225806451613,9.146666666666667,8.366666666666669
1937,6.599999999999999,6.257142857142857,7.529032258064516,8.483333333333333,10.351612903225808,11.656666666666666,12.551612903225806,13.25483870967742,12.943333333333332,11.335483870967742,9.896666666666667,9.329032258064515
1938,8.329032258064517,7.607142857142857,8.24516129032258,9.426666666666666,10.503225806451614,11.363333333333335,12.051612903225804,12.293548387096772,13.880000000000003,11.964516129032258,8.95,7.362068965517242
1939,7.096774193548387,6.203571428571427,7.5290322580645155,8.451724137931036,10.151612903225805,10.663333333333332,12.78709677419355,13.541935483870967,13.25,10.81935483870968,10.500000000000002,10.220689655172412
1940,9.799999999999999,8.96206896551724,9.174193548387096,10.370000000000001,11.229032258064514,12.513333333333332,12.948387096774193,14.203225806451613,14.35,12.509677419354837,10.65,9.600000000000001
1941,8.851612903225806,8.95,10.05483870967742,10.926666666666666,11.467741935483868,13.243333333333334,13.86451612903226,14.206451612903225,13.890000000000002,12.029032258064513,10.586666666666666,8.870000000000001
1942,8.861290322580643,8.760714285714284,8.45483870967742,9.433333333333334,10.845161290322581,12.249999999999998,13.63225806451613,13.741935483870966,12.58,11.896774193548387,9.1,7.764516129032256
1943,6.580645161290323,7.057142857142857,7.625806451612904,8.85357142857143,9.983870967741936,11.533333333333333,12.58064516129032,13.370967741935482,13.01666666666667,11.561290322580644,9.953333333333335,8.912903225806454
1944,8.206896551724139,8.196551724137931,8.200000000000001,8.953333333333335,10.219354838709679,11.68,12.67741935483871,13.129032258064516,13.05,12.583870967741932,10.486666666666666,9.766666666666667
1945,9.667741935483873,8.655555555555557,8.209677419354838,8.533333333333331,9.646666666666667,10.815384615384614,11.780000000000003,12.316129032258067,11.355172413793104,10.672413793103448,8.121428571428572,7.16206896551724
1946,7.413333333333335,7.146428571428572,7.540000000000001,7.993333333333334,10.235483870967741,12.030000000000001,13.156666666666666,13.025806451612903,12.600000000000001,10.449999999999998,7.9799999999999995,6.836666666666668
1947,6.228571428571428,6.5703703703703695,7.809677419354838,8.833333333333334,10.338709677419352,12.226666666666667,13.680645161290322,12.89032258064516,12.830000000000002,11.216129032258063,9.713333333333335,8.806666666666667
1948,7.7666666666666675,7.186206896551725,7.370967741935483,8.239999999999998,9.976666666666665,11.65,12.354838709677423,12.661290322580648,12.666666666666666,11.003225806451612,8.95862068965517,7.112903225806452
1949,6.312903225806451,5.862962962962963,6.896774193548387,8.089655172413792,10.110000000000001,10.85333333333333,12.283870967741938,13.696666666666665,12.799999999999999,11.183870967741935,9.99642857142857,8.243333333333334
1950,6.213333333333334,5.644444444444445,6.580645161290323,7.3607142857142875,8.667741935483873,11.176666666666666,12.192592592592588,13.270967741935484,12.451724137931034,10.979999999999997,8.979999999999999,9.35925925925926
1951,7.96896551724138,7.292857142857143,7.246666666666668,8.507142857142858,10.516129032258062,10.616666666666667,12.61290322580645,12.790322580645164,12.166666666666666,11.87741935483871,9.76551724137931,8.293333333333333
1952,7.056666666666667,7.014285714285713,7.629032258064516,7.981481481481482,9.332258064516129,10.403448275862067,11.13225806451613,12.8,12.419999999999998,11.870967741935486,10.133333333333335,8.434615384615386
1953,7.824137931034484,7.937037037037037,7.986206896551724,8.680000000000001,10.132258064516128,11.216666666666669,12.906666666666668,12.638709677419355,13.606896551724136,11.27741935483871,10.11111111111111,9.282758620689656
1954,7.770967741935484,7.604,7.825806451612902,8.386666666666667,9.809677419354836,11.253333333333334,11.993103448275862,12.683333333333332,14.2,11.39310344827586,10.499999999999998,9.228000000000002
1955,8.616666666666667,7.981481481481482,7.051612903225806,7.886206896551724,9.10967741935484,10.043333333333333,11.883333333333333,11.870967741935484,12.176666666666668,10.41,8.044827586206894,6.3964285714285705
1956,6.266666666666667,6.296296296296297,6.544827586206898,7.946666666666666,9.567741935483872,11.240000000000002,11.977419354838709,13.109677419354838,13.576666666666666,11.153333333333334,9.279310344827588,7.988
1957,6.8566666666666665,6.648148148148149,6.926666666666667,8.29,10.46774193548387,12.114285714285712,13.044444444444444,14.792857142857144,13.6,11.879310344827584,10.259259259259258,9.248148148148145
1958,8.76551724137931,9.038461538461537,9.043333333333333,9.743333333333334,11.219999999999999,13.010344827586204,13.067741935483873,13.466666666666669,13.071428571428571,11.22580645161291,9.36206896551724,8.429629629629629
1959,7.721428571428572,7.667999999999999,7.970370370370372,8.615384615384615,10.303225806451612,11.686206896551722,12.541935483870969,12.129032258064516,12.856666666666671,11.476666666666667,8.97857142857143,8.146153846153847
1960,7.185185185185184,7.548000000000001,7.320000000000001,8.544444444444444,10.220689655172412,10.78,11.53793103448276,13.05,12.679310344827584,11.144827586206894,9.532142857142858,8.619354838709677
1961,8.33,8.348148148148148,8.396774193548385,9.463333333333333,10.970967741935485,12.492857142857142,13.682758620689656,13.858064516129032,13.143333333333334,10.260000000000002,8.348275862068967,7.189999999999999
1962,7.073333333333334,7.414285714285714,7.386206896551725,8.793103448275863,9.733333333333333,11.6,12.353333333333332,12.865517241379314,12.189999999999998,11.462068965517243,10.472413793103446,9.148148148148145
1963,8.564516129032258,8.567857142857141,8.219354838709679,9.256666666666666,10.867741935483874,11.706666666666665,13.080645161290322,13.980645161290324,15.493333333333332,13.258064516129034,10.573333333333334,9.835483870967739
1964,8.85483870967742,8.582758620689656,8.280645161290321,8.729999999999999,9.253571428571428,12.123529411764707,12.632258064516133,13.393548387096775,11.936666666666666,11.041935483870967,9.030000000000001,7.538709677419355
1965,6.522580645161289,6.80357142857143,7.683870967741935,8.41,9.545161290322582,10.636666666666665,12.39032258064516,13.961290322580645,11.433333333333332,10.722580645161289,9.843333333333335,9.003225806451614
1966,8.28709677419355,8.310714285714285,7.919354838709678,8.889999999999999,9.638709677419351,11.176666666666668,12.64516129032258,12.593548387096773,13.279999999999998,11.37741935483871,8.973333333333333,8.12258064516129
1967,7.777419354838709,7.653571428571428,7.79032258064516,8.7,10.45161290322581,11.580000000000002,13.058064516129033,14.074193548387097,14.97,12.783870967741937,10.536666666666665,8.554545454545455
1968,7.403225806451613,7.106896551724139,8.141935483870967,8.453333333333333,10.561290322580646,12.086666666666668,13.13225806451613,13.25483870967742,13.026666666666667,10.59032258064516,9.46,8.058064516129031
1969,6.732258064516129,6.239285714285713,7.525925925925924,8.176666666666666,10.112903225806452,12.439999999999998,12.048387096774194,12.574193548387099,12.323076923076922,11.435483870967742,10.236666666666668,8.85483870967742
1970,7.46774193548387,7.775,8.103225806451613,8.306666666666665,9.461290322580645,10.699999999999998,11.551612903225806,12.219354838709675,11.46,9.922580645161291,8.253333333333334,6.4161290322580635
1971,6.016129032258065,6.614285714285713,6.719354838709678,7.6933333333333325,9.058064516129033,10.863333333333335,12.348387096774195,14.306451612903226,12.983333333333333,10.88709677419355,8.466666666666665,6.864516129032258
1972,5.806451612903225,5.844827586206898,6.603225806451613,7.623333333333334,9.503225806451612,11.293333333333331,12.877419354838713,13.25806451612903,11.576666666666666,9.996774193548388,8.620000000000001,7.196774193548386
1973,6.599999999999999,6.700000000000001,7.567741935483871,8.766666666666667,10.21290322580645,10.793333333333333,11.722580645161289,12.196774193548386,13.146666666666667,11.106451612903227,8.003703703703705,7.416129032258063
1974,6.370967741935485,7.2749999999999995,7.332258064516131,8.603333333333333,9.929032258064515,10.879999999999997,12.735483870967744,12.63225806451613,13.816666666666666,11.267741935483873,9.25,8.40322580645161
1975,7.332258064516129,6.6571428571428575,7.106451612903226,8.253333333333334,9.758064516129032,10.43,12.54193548387097,12.041935483870967,11.923333333333334,10.932258064516132,8.936666666666667,7.858064516129032
1976,7.238709677419356,6.903448275862068,7.1806451612903235,8.26,9.729032258064516,10.743333333333334,12.351612903225808,12.951612903225808,13.756666666666668,11.987096774193548,9.876666666666669,8.864516129032259
1977,8.200000000000001,8.632142857142858,8.387096774193548,9.159999999999998,10.348387096774196,11.423333333333334,12.55483870967742,13.706451612903225,13.169999999999998,11.764516129032257,9.356666666666666,7.980645161290323
1978,7.777419354838708,8.375,8.935483870967742,9.973333333333331,10.703225806451615,12.696666666666665,12.603225806451613,14.129032258064518,14.180000000000001,12.758064516129032,9.676666666666666,8.22258064516129
1979,6.670000000000001,6.4678571428571425,7.687096774193548,8.85,10.806451612903226,11.7,13.461290322580643,14.232258064516131,14.936666666666666,12.516129032258062,10.393333333333334,9.49032258064516
1980,8.132258064516128,8.23448275862069,8.638709677419355,9.100000000000001,10.780645161290325,12.160000000000004,13.280645161290318,12.274193548387094,12.513333333333334,12.361290322580645,10.553333333333335,9.141935483870967
1981,9.470967741935485,8.907142857142858,9.19032258064516,9.68,10.848387096774195,12.706666666666667,13.196774193548388,12.99032258064516,14.303333333333335,11.525806451612903,10.293333333333331,8.887096774193546
1982,7.474193548387097,7.289285714285714,7.751612903225807,8.525925925925927,9.893548387096773,11.810000000000004,12.790322580645162,13.412903225806454,13.40333333333333,11.209677419354836,9.173333333333334,8.393548387096773
1983,8.458064516129031,8.589285714285714,9.496774193548388,10.520000000000001,12.183870967741935,12.886666666666667,14.483870967741936,14.46774193548387,13.936666666666667,11.358064516129033,9.843333333333334,8.241935483870968
1984,8.545161290322582,8.476923076923077,8.87741935483871,9.156666666666668,10.516129032258064,11.360000000000003,12.812903225806451,14.170967741935481,13.636666666666663,11.222580645161289,9.133333333333335,7.951612903225805
1985,7.974193548387097,7.621428571428572,7.835483870967742,8.543333333333333,10.125806451612904,11.663333333333332,13.035483870967742,12.335483870967739,12.05,10.9,7.923333333333333,7.1000000000000005
