Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1936,,,,,,,,,,11.830000000000002,10.276666666666667,7.84516129032258
1937,6.290322580645162,5.0892857142857135,6.325806451612903,7.216666666666667,8.904761904761903,9.695454545454545,11.793333333333331,11.877777777777776,,,,
1938,,,,,,,,,,,,
1939,,,,,,,,,,,,
1940,,,8.09666666666667,8.923333333333334,10.396774193548389,11.440000000000001,11.916129032258064,13.025806451612905,11.776666666666666,11.045161290322582,8.99,8.466666666666667
1941,7.619354838709678,7.621428571428572,7.793548387096774,8.636666666666665,9.232258064516127,10.926666666666666,12.158620689655173,11.896428571428572,11.27037037037037,10.517857142857142,9.319230769230769,8.089285714285714
1942,7.958620689655173,7.6160000000000005,7.413793103448276,7.742857142857142,8.882608695652172,9.903846153846153,11.533333333333333,11.3,10.500000000000002,11.542857142857143,8.32962962962963,7.1296296296296315
1943,5.838461538461539,5.91851851851852,5.603571428571429,6.807142857142858,7.675,,,12.716666666666663,12.083333333333334,10.996774193548388,9.048275862068964,8.141935483870968
1944,7.416129032258065,6.979310344827587,6.526666666666667,7.250000000000002,8.281818181818181,9.766666666666667,10.948387096774196,10.238709677419354,10.1,11.258064516129032,9.455172413793106,7.956666666666667
1945,7.5666666666666655,7.07142857142857,6.923333333333333,6.9799999999999995,8.45483870967742,9.5,10.949999999999998,10.958620689655174,10.436666666666667,10.267857142857144,7.282758620689655,6.445161290322582
1946,6.403448275862069,6.279166666666668,6.174193548387098,7.2333333333333325,8.72857142857143,9.978571428571428,11.587096774193546,12.186666666666666,11.558620689655172,9.94,7.069999999999999,5.841379310344826
1947,4.993333333333334,4.6875,6.177419354838711,7.039999999999998,8.751851851851852,10.096666666666666,11.732258064516133,11.59677419354839,11.771428571428569,10.896666666666667,8.63076923076923,7.500000000000001
