Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1954,,,,,,,12.71111111111111,12.512903225806452,12.986666666666663,,,
1955,7.181481481481482,6.884000000000001,6.289999999999998,6.95,8.651724137931033,10.355172413793104,12.553333333333335,13.2,12.283333333333333,9.906451612903227,6.82962962962963,6.028571428571429
1956,5.7285714285714295,5.403703703703704,5.417857142857144,6.7407407407407405,9.14516129032258,10.985714285714284,11.920000000000003,13.243333333333336,12.744827586206897,9.903333333333334,7.774999999999999,6.886666666666667
1957,4.693333333333333,5.089285714285714,5.886666666666667,7.0827586206896544,9.19,11.562068965517241,12.912903225806453,14.483333333333333,13.69655172413793,10.079310344827586,8.672413793103448,7.916129032258064
1958,7.145161290322581,7.253846153846154,7.576666666666668,9.03448275862069,10.582758620689654,12.4,12.54193548387097,14.178571428571429,12.903448275862068,10.561290322580641,8.196551724137931,7.661290322580644
1959,6.6866666666666665,6.507407407407408,7.112903225806453,7.882758620689655,9.436666666666667,11.575862068965519,13.632142857142856,13.09032258064516,12.586666666666662,10.341935483870968,8.123333333333331,7.383333333333334
1960,6.3933333333333335,6.571428571428572,6.364516129032258,7.616666666666665,9.909677419354841,11.013333333333332,12.490322580645161,12.966666666666665,12.493103448275862,10.535714285714286,8.642857142857144,7.832142857142856
1961,7.33448275862069,7.355999999999999,7.296666666666667,8.424137931034481,10.319999999999999,12.232142857142856,13.106451612903221,13.80689655172414,13.120689655172411,10.453571428571431,7.823076923076921,6.786206896551725
1962,6.0600000000000005,6.060714285714284,5.830000000000001,7.073333333333334,8.806451612903224,10.941379310344827,12.113793103448272,13.325000000000001,12.72758620689655,10.689285714285715,9.820833333333335,8.082758620689654
1963,7.306451612903227,7.600000000000001,7.551612903225806,8.23,10.067741935483873,11.62,13.387096774193548,13.848387096774195,14.05,11.909677419354841,9.706666666666667,8.296774193548387
1964,7.822580645161291,7.641379310344828,7.3096774193548395,7.756666666666667,8.932258064516128,12.083333333333332,13.25806451612903,14.116129032258065,12.463333333333333,10.451612903225806,7.869999999999999,6.992592592592594
1965,5.836666666666665,5.764285714285714,6.170967741935486,7.353333333333334,8.841935483870966,10.516666666666664,12.587096774193549,12.970967741935484,11.353333333333332,9.74516129032258,8.24,7.814285714285716
1966,6.548387096774195,6.821428571428571,6.870967741935484,7.65,8.919354838709676,11.266666666666664,12.864516129032257,13.458064516129035,12.589999999999998,10.467741935483868,8.226666666666665,7.377419354838709
1967,6.77741935483871,6.882142857142858,6.454838709677419,7.670000000000001,9.890322580645162,11.653333333333332,13.283870967741937,14.635483870967743,14.126666666666665,11.53225806451613,9.416666666666666,7.674999999999999
1968,6.435483870967742,6.023076923076924,7.170967741935484,7.613333333333332,9.803703703703704,12.54,13.829032258064515,13.48064516129032,13.126666666666665,10.529032258064511,8.640000000000002,7.125806451612903
1969,5.1499999999999995,5.110714285714286,6.267741935483871,7.120000000000001,9.096774193548388,12.610000000000001,12.97741935483871,12.677419354838712,12.1,11.07741935483871,9.48666666666667,7.845161290322581
1970,7.006451612903227,7.1428571428571415,7.461290322580646,7.8500000000000005,9.035483870967743,10.939999999999998,12.309677419354838,13.016129032258062,12.053333333333335,10.225806451612902,7.986666666666666,6.548387096774194
1971,5.587096774193548,5.653571428571429,5.851612903225806,6.713333333333333,8.17741935483871,10.773333333333332,12.841935483870968,13.883870967741935,12.459999999999999,10.448387096774196,7.986666666666666,6.0
1972,4.993548387096776,4.875862068965517,5.551612903225806,6.423333333333334,8.52258064516129,10.603333333333332,12.696774193548386,13.583870967741936,11.093333333333334,8.754838709677419,7.630000000000001,6.409677419354838
1973,5.9161290322580635,5.874999999999999,6.354838709677418,7.39,9.077419354838709,11.093333333333334,12.164516129032261,13.235483870967743,12.59,10.325806451612902,7.176666666666667,6.709677419354838
1974,6.174193548387097,6.0857142857142845,6.3032258064516125,7.616666666666665,8.858064516129032,10.646666666666668,12.851612903225806,12.919354838709674,13.603333333333332,10.86774193548387,8.696666666666665,7.838709677419354
1975,6.412903225806453,5.621428571428573,6.093548387096774,6.959999999999999,9.058064516129031,10.44,12.512903225806452,12.522580645161288,11.820000000000002,10.39032258064516,8.28,6.870967741935484
1976,6.4709677419354845,6.162068965517241,5.825806451612903,7.06,8.496774193548386,10.576666666666666,12.835483870967742,12.929032258064515,12.473333333333334,10.648387096774194,8.796666666666665,7.719354838709678
1977,6.506451612903226,7.360714285714287,7.174193548387096,8.173333333333334,9.480645161290322,10.926666666666666,12.303225806451612,14.451612903225806,13.486666666666666,10.954838709677418,8.100000000000001,6.752000000000001
1978,6.5677419354838715,7.0321428571428575,6.996774193548387,8.27,9.764516129032259,10.896666666666667,11.206451612903225,13.535483870967742,12.976666666666665,11.283870967741938,8.809999999999999,7.129032258064516
1979,5.94516129032258,5.560714285714288,6.403225806451612,8.06,9.958064516129031,11.389999999999997,13.535483870967743,14.331818181818182,14.116666666666665,12.1,9.293333333333333,7.993548387096775
1980,6.819354838709678,6.782758620689655,7.135483870967741,8.066666666666665,9.919354838709678,11.48,13.44782608695652,13.122580645161289,12.020000000000001,10.706451612903228,9.56,7.716129032258065
1981,7.767741935483871,7.587999999999999,8.187096774193547,8.416666666666666,9.951724137931036,12.007407407407404,12.474193548387097,13.393548387096777,14.059259259259262,11.361290322580647,9.843333333333334,8.44516129032258
1982,7.076923076923077,6.535714285714285,6.6,7.609999999999998,8.806666666666668,11.23076923076923,13.051612903225804,13.561290322580648,12.996666666666666,10.667741935483868,8.316666666666666,7.6
1983,7.332142857142857,7.903571428571428,8.193548387096774,9.740000000000002,11.377419354838711,12.26666666666667,14.632258064516128,14.793548387096775,13.506666666666664,11.419354838709678,9.356666666666666,7.86451612903226
1984,7.796774193548385,7.675862068965517,8.110714285714286,8.503448275862068,9.832258064516129,11.453333333333337,12.974193548387097,14.387096774193548,13.256666666666666,10.906451612903224,8.476666666666667,7.0935483870967735
1985,6.822580645161291,6.457142857142856,6.658064516129032,7.65,9.229032258064517,11.283333333333333,13.17741935483871,12.103225806451613,11.566666666666668,10.035483870967743,7.076666666666666,6.129032258064516
1986,6.403225806451613,5.989285714285714,6.9645161290322575,8.01,9.409677419354837,11.610000000000001,13.148387096774194,12.645161290322578,12.423333333333336,10.98064516129032,9.149999999999999,7.806451612903225
1987,7.5,7.482142857142857,7.974193548387096,8.733333333333333,10.029032258064515,11.813333333333333,12.841935483870968,13.187096774193549,12.353333333333332,10.980645161290322,9.586666666666668,8.270967741935484
1988,7.790322580645161,7.203448275862069,7.4870967741935495,8.12,10.283870967741937,11.82,13.270967741935484,13.048387096774192,12.653333333333332,11.293548387096775,9.23846153846154,7.512903225806451
1989,6.951612903225805,5.621428571428569,6.319354838709678,7.876666666666666,10.587096774193547,11.586666666666668,14.190322580645162,14.058064516129033,12.676666666666668,10.961290322580645,9.073333333333332,8.148387096774194
1990,6.996666666666666,6.014814814814815,6.645161290322581,8.203333333333335,9.654838709677417,12.363333333333333,13.14193548387097,14.06,13.550000000000002,10.422580645161291,8.093333333333332,6.693548387096773
1991,5.616129032258065,6.235714285714286,6.04516129032258,7.226666666666665,8.958064516129031,10.846666666666666,12.8,13.551612903225806,13.030000000000001,10.490322580645161,8.336666666666666,7.576666666666667
1992,6.967741935483872,6.8310344827586205,7.780645161290323,8.666666666666666,9.719354838709679,11.162962962962963,12.583870967741936,13.174193548387096,12.05,10.261290322580646,8.97,7.387096774193549
