Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1934,8.0,,,,,,,16.541666666666668,14.73448275862069,11.714814814814815,9.05,7.542857142857143
1935,5.071428571428571,6.6000000000000005,6.42962962962963,9.21,11.386666666666667,13.709999999999999,15.422580645161293,15.485185185185184,14.49642857142857,11.613636363636363,8.29,7.699999999999998
1936,7.154838709677418,6.3999999999999995,6.792592592592594,9.248000000000001,11.977777777777776,15.27083333333333,17.20416666666667,16.54838709677419,14.872727272727273,12.870967741935486,10.284615384615384,
1937,6.2956521739130435,6.696000000000001,8.753333333333334,9.637037037037036,12.026666666666667,13.166666666666664,14.943333333333333,14.644444444444444,13.70689655172414,10.866666666666669,8.137931034482758,7.3482758620689665
1938,6.1,5.575,6.619354838709678,9.113333333333333,11.109999999999998,13.336666666666666,13.990322580645161,14.710344827586205,15.386666666666667,12.320689655172414,8.451724137931034,7.017857142857144
1939,,6.1230769230769235,7.670967741935484,9.60689655172414,11.564516129032258,13.543333333333333,14.613793103448279,14.82258064516129,13.562068965517243,10.390000000000002,8.75,8.107142857142856
1940,6.867741935483873,6.99655172413793,7.690322580645161,10.163333333333334,12.019354838709676,13.58,15.709677419354838,15.958064516129031,15.703333333333331,12.583870967741936,9.713333333333333,8.296774193548387
1941,7.941935483870967,8.046428571428573,9.864516129032259,11.630000000000003,13.116129032258064,14.84,16.690322580645166,16.390322580645165,15.036666666666665,12.341935483870966,10.243333333333334,8.080645161290322
1942,8.01290322580645,7.896428571428572,8.096774193548388,10.009999999999996,12.496774193548386,14.135714285714286,16.5258064516129,16.548275862068966,14.16333333333333,12.193333333333332,8.486666666666668,7.065517241379312
1943,6.209677419354839,6.2749999999999995,7.25483870967742,9.229999999999999,11.487096774193548,13.143333333333336,14.732258064516133,15.635483870967743,14.83103448275862,12.112903225806452,9.776666666666666,8.135483870967743
1944,7.312903225806451,7.472413793103447,7.832258064516131,9.84,11.774193548387096,13.206666666666667,14.661290322580648,15.89032258064516,15.106666666666667,12.800000000000002,9.863333333333333,8.745161290322581
1945,7.880645161290323,7.6035714285714295,7.745161290322581,9.13,12.04193548387097,13.793333333333333,14.641935483870968,15.541935483870969,13.893333333333334,11.619354838709675,7.8,6.264285714285715
1946,6.635483870967742,6.585714285714286,7.2870967741935475,8.756666666666666,12.080645161290326,13.946666666666665,14.903225806451614,15.951612903225806,14.776666666666669,10.441935483870967,7.496666666666667,6.096774193548387
1947,5.361290322580645,6.507142857142859,8.316129032258063,9.41,12.661290322580646,14.633333333333335,15.664516129032261,16.75161290322581,14.693333333333335,11.336666666666664,9.056666666666667,7.690000000000001
1948,7.161290322580643,6.886206896551724,7.370967741935484,8.860000000000001,11.21935483870968,15.253333333333336,15.609677419354838,15.429032258064517,14.573333333333334,11.63,8.337931034482757,5.8677419354838705
1949,5.216129032258064,5.8392857142857135,7.203225806451614,8.736666666666668,12.283870967741937,12.860000000000003,14.603225806451613,15.416129032258066,14.606666666666666,11.264516129032257,10.0,7.393548387096775
1950,4.454166666666668,4.825,6.31290322580645,7.646666666666667,10.283870967741937,13.933333333333335,15.261290322580644,15.86451612903226,13.983333333333333,10.948387096774193,8.016666666666667,8.064516129032258
1951,6.848387096774192,6.082142857142856,6.709677419354838,9.876666666666669,12.261290322580646,13.266666666666667,15.361290322580647,15.380645161290321,13.286666666666665,11.570967741935483,9.136666666666665,6.932258064516129
1952,6.148387096774194,5.727586206896553,6.980645161290322,8.263333333333334,10.6258064516129,13.526666666666666,15.283870967741937,15.329032258064515,14.596666666666666,12.874193548387096,9.016666666666667,7.53225806451613
1953,6.429032258064516,6.296428571428572,8.077419354838709,8.75,12.019354838709678,12.906666666666666,,,,,,
1954,,,,,,,,,,,,
1955,,,,,,,,,,,,
1956,,,,,,,,,,,,
1957,,,,,,,,,,,,
1958,,,,,,,,,,,,
1959,,,,,,,,,,,,
1960,,,,,,,,,,,,
1961,,,,,,,,,,,,
1962,,,,,,,,,,,,
1963,,,,,,,,,,,,
1964,,,,,,,,,,,,
1965,,,,,,,,,,,,
1966,,,,,,,,,,,,
1967,,,,,,,,,,,,
1968,,,,,,,,,,,,
1969,,,,,,,,,,,,
1970,,,,,,,,,,,,
1971,,,,,,,,,,,,
1972,,,,,,,,,,,,
1973,,,,,,,,,,,,
1974,,,,,,,,,,,,
1975,,,,,,,,,,,,
1976,,,,,,,,,,,,
1977,,,,,,,,,,,,
1978,,,,,,,,,,,,
1979,,,,,,,,,,,,
1980,,,,,,,,,,,,
1981,,,,,,,,,,,,
1982,,,,,,,,,,,,
1983,,,,,,,,,,,,
